time,system
0,0
68.24827339719332,1
69.37477426307979,1
169.83570939226905,2
170.16572722724987,2
175.0359394960563,1
229.72453399137916,0
496.2989730742187,1
496.41705049025103,1
532.2749914807583,2
532.434677669717,2
546.1752709822542,1
577.0745666845979,0
857.2255419571388,1
859.1861124975887,1
875.9810989874848,2
885.516556634037,2
888.136068284241,1
919.6114857710959,2
920.080605056599,2
957.3536295832923,1
963.9065540374638,0
990.1651545690214,1
993.2881383379947,1
1089.2801778999888,2
1090.2540523565574,2
1102.7555382494795,1
1178.2752846433912,0
1349.9775181813127,1
1350.774904387465,1
1379.9152866238755,0
1382.8407148548113,1
1384.2623031808575,1
1461.1637736117611,2
1461.3478026965086,2
1492.0724648171765,1
1551.9096004419303,2
1552.4579252146339,2
1579.0411657877607,1
1629.9024145940623,0
1704.5852734066968,1
1707.4672359522483,1
1800.8746940698827,0
1939.1815649921111,1
1939.9190540856619,1
1965.8810545308531,2
1970.1632077467857,2
1970.9033793358287,3
1971.029391627829,3
2026.2920665471959,4
2027.3243960028888,4
2066.6757619059167,3
2066.8195125074667,4
2067.3076515818875,4
2070.692746869927,3
2089.708932294897,4
2091.7199388758813,4
2107.436144981381,3
2158.3028100265465,2
2200.9324322145676,3
2204.852402143916,3
2263.7759940050746,2
2275.397176519672,3
2275.6504621079,3
2280.5032136175605,4
2283.7250454945815,3
2320.620356379887,2
2377.0587069478315,1
2405.628415811734,0
2406.933982186774,1
2407.4794042283297,1
2426.9358688816933,2
2432.827017218516,2
2464.982454175411,1
2493.1302915960046,2
2493.758888220103,2
2499.581662927113,1
2520.048695605664,2
2520.0574332158626,2
2529.678793664916,1
2550.614135335594,2
2551.294754127667,2
2561.069097734869,3
2561.2771289709704,3
2577.163923201553,2
2630.5414684665875,3
2630.688350435376,3
2673.3810105645707,2
2704.055521141521,1
2740.193454146076,0
2770.7938528914633,1
2772.634643134107,1
2817.679162208969,0
2988.7830282736372,1
2988.9272525274123,1
2999.8340059015636,2
2999.9738975940163,2
3012.877942813937,3
3013.3348246447445,3
3055.6848680515714,4
3057.2634899965874,4
3087.2868422235915,3
3182.80695260199,4
3186.1630607243887,4
3204.740747081283,3
3227.109854573658,2
3294.4676471923854,3
3296.815905303061,3
3303.8797602716913,4
3304.237611449805,4
3372.10767050225,3
3427.2200464336142,2
3485.1492727741856,1
3506.0330023756246,2
3506.4681524658804,2
3515.1299394808425,1
3520.0494250452102,2
3520.3530859393595,2
3547.6992462694,1
3573.9969537563893,0
3710.931476569249,1
3711.6604130762103,1
3740.6110067503973,0
3851.570109656649,1
3851.777775170705,1
3947.9494432318465,0
4017.6256675621107,1
4020.4412503031904,1
4025.9154807299424,2
4027.2910453686886,2
4071.9930032702196,1
4110.543259814196,0
4294.379217792702,1
4294.573384292508,1
4340.145810692444,0
4358.445329070741,1
4361.842016121368,1
4409.458491855774,0
4436.245877017012,1
4436.788069497908,1
4501.26599121783,0
4568.442198823083,1
4570.038544259026,1
4614.378042582187,0
4615.846398646812,1
4618.491613676846,1
4662.0600520758535,0
4929.141643712795,1
4929.211267234023,1
4957.306071186479,2
4957.903861472157,2
4984.410881445851,1
5010.56101378733,0
5047.301281979793,1
5047.792827415802,1
5077.557153182602,0
5121.967456505468,1
5124.518837804225,1
5132.433704974484,2
5134.850556520334,2
5153.3209303997055,1
5180.978178087789,0
5286.215997207641,1
5286.420986545996,1
5367.461741890887,0
5502.786386012351,1
5505.151198703211,1
5531.789156341441,2
5534.502507840779,1
5535.840849791175,1
5719.693059530328,2
5721.005359870187,2
5750.376139050552,3
5755.900452705701,2
5771.8936126448725,1
5849.373115314818,0
5864.701493644926,1
5869.4606275122505,1
5900.0413448492745,0
6003.749860022034,1
6003.786909451933,1
6048.62873197091,0
6076.224085107376,1
6077.893746741281,1
6126.568956646927,0
6209.818848486065,1
6210.193977693598,1
6280.007236197825,2
6282.059932680738,2
6283.875739849583,1
6358.304171201495,0
6450.5036659351335,1
6450.750733827864,1
6582.013985429355,2
6583.149476472726,2
6592.428363805233,1
6676.572734500633,0
6725.092189383521,1
6725.654959672429,1
6787.949763715713,0
6879.39770098691,1
6882.1166868152795,1
6960.08798482018,0
6981.164694947069,1
6981.52715232671,1
6984.9651009358895,2
6987.734864706809,2
7117.170161037503,1
7175.723042049371,2
7176.656078091213,2
7226.386898146589,1
7231.175935038864,0
7323.999208980094,1
7324.738358928363,1
7350.92074187904,2
7352.346081816934,2
7373.72100093829,1
7386.237648132571,2
7389.126988061694,2
7405.193999605615,1
7431.532701153526,0
7467.753656968819,1
7467.851858092068,1
7505.566166454708,2
7510.192223243553,2
7530.663844443492,1
7533.0753212938835,2
7533.94678803368,2
7584.820642404972,3
7586.054180169655,3
7625.062028124847,2
7770.909121946484,1
7835.454920854922,2
7835.464883530973,2
7874.223046400968,1
8070.377347145155,2
8071.552657175961,2
8092.9838839431795,3
8093.9576178462985,3
8094.854381889953,4
8094.930028083082,4
8147.93404526881,3
8204.707288382546,4
8210.647139964527,4
8255.888594998578,3
8286.2276979333,2
8292.880404527707,1
8299.973592423254,2
8301.847866177317,2
8323.847580791495,3
8324.18737885637,4
8324.689190164267,4
8326.17786274127,4
8332.748650719623,3
8407.8217366659,2
8435.281032881523,1
8518.93838880431,0
8609.409147398646,1
8613.260883102055,1
8666.476148130325,0
8893.875922902509,1
8894.92794748511,1
8928.28793561236,0
9135.215924432201,1
9136.846140141737,1
9187.223456853802,0
9294.64529783605,1
9296.205292357012,1
9336.013569831905,0
9372.433441567735,1
9373.02684644671,1
9377.352661927136,2
9378.124432124681,1
9427.754011806737,2
9427.773282686874,2
9453.326288035109,3
9453.62976391623,3
9461.333885040309,2
9475.512647547292,3
9476.619489766796,3
9487.444313159252,4
9489.245506500194,4
9502.954897220581,3
9544.630985241389,2
9552.942434119206,3
9554.378923263173,3
9564.964929272675,4
9565.068875127476,3
9624.814967852386,2
9636.431987740254,3
9638.68365829436,2
9710.427614944843,1
9711.375348379714,0
9715.10406525485,1
9715.581768305245,1
9759.432122511525,2
9760.063799524696,1
9811.468268031926,0
10057.331835289582,1
10057.544623165875,1
10111.848275028326,0
inf,1
