Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.4682745246170785,1.4682745246170785,0.011215985951936017,0.005607992975968009,44.422884939430766,0.16306019273402167,78.17020436036945,122.59308929980021,0.4499944746123619,0.28693428187834025,17.649185729072748,0.019260024109107165,56.14501103152268,75.86205281032933,0.0805293813855704,0.06126935727646324,0.0,0.0,79.39322811090487,91.78765646363514,0.04725787387553862,0.04725787387553862,11.432781271001963,0.006805226947024978,110.78982053559916,122.22260180660112,0.07275154869440542,0.06594632174738045,48.71902063472501,0.07733177878527779,144.51456686047698,194.4091234102943,0.3067199801511143,0.22938820136583646,77,37,11,12,16,0.922077922077922,1.0,0.8181818181818182,0.9166666666666666,0.875
2,0.0,0.0,1.2961344563396964,1.2961344563396964,0.011058290004485506,0.005529145002242753,11.495317482356157,0.0330718459313818,82.84124823504389,94.33656571740005,0.2714048021631549,0.23833295623177309,25.67413776661443,0.05094074953693339,59.05490963287804,61.47069953668544,0.16811318928470728,0.11717243974777389,0.0,0.0,84.06040207513517,106.44945408367978,0.08339325602691981,0.08339325602691981,0.0,0.0,172.96348171546208,172.96348171546208,0.03431815113402025,0.03431815113402025,56.311207789803824,0.13407430426143768,167.5706881125202,223.881895902324,0.5330521331007715,0.3989778288393338,86,29,20,12,24,0.8604651162790697,1.0,0.8,0.4166666666666667,1.0
3,0.0,0.0,1.371254518190102,1.371254518190102,0.013603715458235136,0.006801857729117568,47.938980162298414,0.20450160188282063,79.93656967411994,127.87554983641834,0.5455008574371021,0.3409992555542815,124.92191071449527,0.18589570046799891,63.904533039391694,211.03117034165805,0.2809917317766175,0.09509603130861859,0.0,0.0,64.37443793268282,90.38270515101777,0.0447044707865853,0.0447044707865853,0.0,0.0,120.2910382813407,120.2910382813407,0.059668173750665035,0.059668173750665035,163.98112036616732,0.471771080418537,193.33421028353982,328.59476837784825,1.0279905346072924,0.5562194541887554,100,43,15,12,29,0.89,1.0,0.7333333333333333,0.75,0.896551724137931
4,0.0,0.0,1.872434801924352,1.872434801924352,0.0169039252951504,0.0084519626475752,20.42130658402645,0.08914062397789323,69.98692461159749,90.40823119562394,0.3946391044253426,0.30549848044744937,53.672749707793066,0.07454548570526814,45.62008249459687,115.10146272057972,0.13790671139220825,0.0633612256869401,0.0,0.0,128.03581458412916,154.0531968637955,0.08891376012786746,0.08891376012786746,0.0,0.0,247.08019365716177,247.08019365716177,0.07353577192177434,0.07353577192177434,37.977716662050845,0.08288787366717446,161.67522971615054,205.72675258419548,0.4357504782063919,0.3528626045392175,91,44,14,10,22,0.9120879120879121,1.0,0.7857142857142857,0.7,0.9545454545454546
5,0.0,0.0,1.7089996940791192,1.7089996940791192,0.016106643942213922,0.008053321971106961,31.075373817731094,0.14489509617394458,75.7289396401282,106.8043134578593,0.4979963028293043,0.35310120665535966,95.4957609130666,0.1515805728778835,40.95104496638175,174.40493688153697,0.21658223155467993,0.06500165867679643,0.0,0.0,108.55885975446597,113.39713209304769,0.08615782520195713,0.08615782520195713,0.0,0.0,115.28673745891125,115.28673745891125,0.045748705340837796,0.045748705340837796,19.561823134647895,0.03687248408316567,129.6335564433084,155.28722715213817,0.2812214496013065,0.24434896551814084,95,47,16,12,19,0.8736842105263158,1.0,0.6875,0.75,0.8421052631578947
6,0.0,0.0,1.5222796585709417,1.5222796585709417,0.013289743051016158,0.006644871525508079,13.999140211862033,0.05555214369786521,77.01853824400445,91.01767845586647,0.3611812637137559,0.30562912001589065,24.729888809700093,0.036800429776339426,43.247945285345814,56.0945451741185,0.10115749121286594,0.0643570614365265,0.0,0.0,119.34532906293092,190.65424926540194,0.10655832952047403,0.10655832952047403,0.0,0.0,121.63411897864924,121.63411897864924,0.048267507531210015,0.048267507531210015,55.452363835997346,0.11002453142062965,166.30625313121473,221.75861696721208,0.4399972558873256,0.3299727244666959,88,40,15,13,20,0.8636363636363636,0.975,0.6666666666666666,0.5384615384615384,1.0
7,0.0,0.0,1.5356563005536867,1.5356563005536867,0.012035401561879093,0.0060177007809395465,11.638235185262513,0.0473380597813257,70.52510085924632,82.16333604450884,0.33419610891119667,0.28685804912987095,26.19787183243431,0.03898492832207486,47.982313995709575,92.46228795938754,0.11038718129188078,0.07140225296980592,2.2949727641366735,0.0013660552167480198,123.20378053986518,195.30328236116566,0.07470163887142967,0.07333558365468165,4.908703693806577,0.002921847436789629,186.5413738375041,191.45007753131065,0.11395837948292302,0.11103653204613338,15.201482928203859,0.01508083623829748,231.74511197202227,258.3663473596289,0.24498670128990688,0.2299058650516094,79,41,15,12,10,0.8607594936708861,1.0,0.7333333333333333,0.5833333333333334,0.9
8,0.0,0.0,1.601200269594243,1.601200269594243,0.015884923309466698,0.007942461654733349,52.256491529446954,0.24884043585450932,80.39371607117168,132.65020760061864,0.6316676552410412,0.38282721938653186,34.1572185765351,0.05760642021836277,47.65357895032036,97.08547229368857,0.1379745593210856,0.08036813910272282,0.0,0.0,132.13210984415718,153.66262331605185,0.07865006538342689,0.07865006538342689,2.5594291789119388,0.0017773813742444021,144.54428207742907,147.10371125634103,0.1021553550391257,0.10037797366488131,29.751772104515588,0.06198285855107414,139.03983343713367,183.22192378782074,0.3516491782117693,0.2896663196606951,100,48,17,13,21,0.87,1.0,0.7647058823529411,0.6153846153846154,0.8571428571428571
9,0.0,0.0,1.5599285730391734,1.5599285730391734,0.011142346950279809,0.005571173475139904,11.007283534854444,0.045863681395226855,60.896249725111495,71.90353325996594,0.29959805524985805,0.2537343738546312,20.28908403742326,0.026166477429216507,50.7309477919392,76.13237740724539,0.09159329501802699,0.06542681758881048,0.0,0.0,159.3880933328857,180.75514574054745,0.07906155423258218,0.07906155423258218,0.0,0.0,96.22614046215146,96.22614046215146,0.009546244093467406,0.009546244093467406,29.479637426961197,0.029245672050556743,158.4358993280327,193.82513724247866,0.18642414360614473,0.15717847155558798,72,42,13,6,10,0.8888888888888888,1.0,0.7692307692307693,0.5,0.9
10,0.0,0.0,1.4742371549893798,1.4742371549893798,0.013309085426987456,0.006654542713493728,41.86223752403368,0.21595598722715786,73.21172554449099,115.07396306852466,0.5936355237661987,0.3776795365390408,22.48911890272691,0.029003823981691455,47.73763112732156,74.4453625527493,0.09057021333240378,0.06156638935071233,0.0,0.0,92.06181979885618,139.69066624053002,0.054798702261223915,0.054798702261223915,0.0,0.0,90.37174471442852,90.37174471442852,0.026896352593579913,0.026896352593579913,38.81479590906988,0.06546146135458214,167.6493217094758,206.46411761854569,0.34820337296778536,0.2827419116132032,91,52,13,9,17,0.9560439560439561,1.0,0.9230769230769231,0.6666666666666666,1.0
11,0.0,0.0,1.7896058848590481,1.7896058848590481,0.015090922640180466,0.007545461320090233,2.9383404115613834,0.011077076948346485,62.518727324660844,65.45706773622224,0.24676275535480602,0.23568567840645954,22.346856905524646,0.03325425134750691,54.108627124641295,81.52103248132822,0.11377304171155647,0.08051879036404955,0.0,0.0,66.0114639538224,47.209265707489934,0.052390050757001906,0.052390050757001906,0.0,0.0,111.99167167408659,111.99167167408659,0.07777199421811569,0.07777199421811569,97.6824058807102,0.14536072303677114,170.71169217050132,247.4579838819783,0.3993959792428743,0.2540352562061031,85,39,15,15,15,0.8352941176470589,0.9487179487179487,0.8,0.7333333333333333,0.7333333333333333
12,0.0,0.0,2.0996588725858594,2.0996588725858594,0.01687225879756494,0.00843612939878247,18.602916393897395,0.07382109680118014,78.3516012937049,96.9545176876023,0.3847401495539774,0.31091905275279724,6.10995516640296,0.006061463458733095,57.6897165566228,78.97457683248062,0.06329332512204935,0.057231861663316265,0.0,0.0,95.48483861461868,103.82414868560419,0.07578161794811006,0.07578161794811006,0.0,0.0,100.92171802343006,100.92171802343006,0.030036225602211326,0.030036225602211326,16.694231382052568,0.031467301216170515,162.2783817401312,178.9726131221838,0.3373491715596718,0.3058818703435013,81,40,10,11,19,0.8888888888888888,1.0,0.7,0.5454545454545454,1.0
13,0.0,0.0,1.1597062576249344,1.1597062576249344,0.010814721053248396,0.005407360526624198,14.825414041992687,0.07206798492635333,70.23434075271524,85.05975479470793,0.4134849191409413,0.341416934214588,25.75658867125037,0.045993908341518515,49.389877891443994,56.09297982073349,0.13419011886195423,0.0881962105204357,0.0,0.0,79.62792932260155,96.16331851978472,0.04739757697773902,0.04739757697773902,0.0,0.0,68.59105099090691,68.59105099090691,0.013609335514068831,0.013609335514068831,17.764404017327443,0.033484491699327525,139.32542960620805,157.0898336235355,0.2961018689332514,0.2626173772339239,94,49,18,8,19,0.9042553191489362,1.0,0.6111111111111112,0.75,1.0
