Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.955424910439282,0.06374058148287687,116.899782688044,131.85520759848328,0.5619718365879518,0.498231255105075,23.91826907136982,0.06078677790247315,127.16167454725162,151.07994361862146,0.38396018335859244,0.32317340545611933,125.57795583192853,0.2309366358341277,148.32700175500105,283.92642375814916,0.5037085452169168,0.27277190938278906,1096,0,0,862,233,0.9279197080291971,0.0,0.0,0.9988399071925754,0.6695278969957081
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.642384805004408,0.08932743444213008,120.42607298521821,141.06845779022262,0.6104567633122279,0.5211293288700979,30.79927469198888,0.0818686127553122,118.60736583021438,149.40664052220325,0.39714293658889155,0.31527432383357934,98.12847817887224,0.16457679079322668,143.0205219668707,261.8497050411952,0.4044445535437513,0.2398677627505246,1096,0,0,883,212,0.9233576642335767,0.0,0.0,0.9988674971687429,0.6132075471698113
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.645589114803078,0.06911401001075523,114.03074731537157,129.67633643017464,0.572842067398621,0.5037280573878657,26.793240113468173,0.07503082696815716,114.60999505343673,141.40323516690492,0.3959805393306106,0.32094971236245345,121.17032115497649,0.17205009154143475,184.1976028051094,304.75507133841853,0.43359280366975317,0.2615427121283184,1096,0,0,915,180,0.9388686131386861,0.0,0.0,1.0,0.6333333333333333
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.935201775287846,0.07022652049105706,116.63328164036584,132.56848341565367,0.5842300240901463,0.5140035035990892,23.760230468333173,0.06429321506585148,118.32252895612366,142.08275942445684,0.3844641751687131,0.3201709601028616,155.15746949665302,0.2406119252699748,197.35961537687513,416.70368058649774,0.5466692306670315,0.3060573053970567,1096,0,0,899,196,0.9416058394160584,0.0,0.0,1.0,0.6785714285714286
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.374306598968289,0.057715707514855545,117.48972480430179,130.86403140327008,0.564732840898731,0.5070171333838754,19.819865311419246,0.05541894954283753,115.35380651124197,135.17367182266122,0.37796336052516377,0.3225444109823263,116.32639972538966,0.20117478795432753,169.761414536633,320.1234943734129,0.4947600502237297,0.2935852622694022,1096,0,0,881,214,0.9306569343065694,0.0,0.0,0.996594778660613,0.6635514018691588
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26919978427257,0.07456428687129296,125.63577513542744,143.9049749197,0.5873367174711193,0.5127724305998264,36.061565796157936,0.10500733673191737,125.46702723035295,161.5285930265109,0.4703536018276499,0.36534626509573254,127.87323508269522,0.21974924022727874,139.17708020292253,307.9943174626413,0.4589240574739421,0.23917481724666342,1096,0,0,879,216,0.9315693430656934,0.0,0.0,1.0,0.6574074074074074
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.463389708100372,0.08062617164732354,113.64438153153554,132.1077712396359,0.5768899431960327,0.4962637715487091,29.291225254729824,0.07312377860496706,119.5783476433238,148.8695728980536,0.3716439170756597,0.2985201384706926,129.26800567668076,0.2205352141211652,169.2168296139232,349.80314051823,0.5092243569331154,0.28868914281195024,1096,0,0,877,218,0.9315693430656934,0.0,0.0,0.9988597491448119,0.6651376146788991
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.947755172507755,0.046438997099562375,116.88080311301162,127.82855828551938,0.5422326270475674,0.495793629948005,23.445634742761193,0.06493394447242301,119.2570844709625,142.7027192137237,0.3952228441308738,0.33028889965845076,143.66399749213335,0.24467650394286072,165.01367121135044,369.51813558419565,0.5257139863989697,0.281037482456109,1096,0,0,881,214,0.927007299270073,0.0,0.0,0.9977298524404086,0.6401869158878505
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56837014014676,0.06886808431806819,117.81719229475289,133.38556243489964,0.5900430217092091,0.521174937391141,18.865865611832685,0.05506460318738734,112.37071858159135,131.23658419342402,0.3830457918531225,0.32798118866573517,101.16150240979387,0.1731436977008808,151.28306350361524,279.1405020374913,0.43207331411192756,0.2589296164110468,1096,0,0,888,207,0.9187956204379562,0.0,0.0,1.0,0.5748792270531401
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.101724148526692,0.05666670496557951,119.81170087030036,133.91342501882704,0.5381209039793154,0.48145419901373593,27.670971607614774,0.0737103199576293,114.99077982079802,142.6617514284128,0.3800243624481291,0.3063140424904998,147.0489988432437,0.2359169566338534,173.33236678948865,350.7807699956825,0.5140014371865599,0.2780844805527065,1096,0,0,883,212,0.9333941605839416,0.0,0.0,1.0,0.660377358490566
