Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20734.789483496173,118.1572385675038,176.26998820186657,20911.059471698038,119.16171344123408,1.004474873730293,1096,0,0,0,1095,0.6578467153284672,0.0,0.0,0.0,0.6584474885844749
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24020.606244504273,131.50059668886763,182.06652191995667,24202.67276642423,132.4973182547531,0.9967215658854908,1096,0,0,0,1095,0.6304744525547445,0.0,0.0,0.0,0.6310502283105023
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22007.680598777002,121.17578476995425,181.47628758185544,22189.156886358855,122.17500554045614,0.9992207705018803,1096,0,0,0,1095,0.6359489051094891,0.0,0.0,0.0,0.6365296803652968
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23716.065100443415,133.60140220627028,177.59678287386754,23893.66188331728,134.60187083876815,1.0004686324978762,1096,0,0,0,1095,0.6487226277372263,0.0,0.0,0.0,0.6493150684931507
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21431.919129010406,119.506532228898,178.6703161829507,21610.589445193356,120.50281584543902,0.9962836165410218,1096,0,0,0,1095,0.6286496350364964,0.0,0.0,0.0,0.6292237442922375
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23226.694669330423,128.4299146445524,180.75884062873214,23407.453509959156,129.42940436117792,0.9994897166255107,1096,0,0,0,1095,0.6332116788321168,0.0,0.0,0.0,0.6337899543378995
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18094.36226590026,102.9456725640896,176.00465445528806,18270.366920355547,103.94702963106154,1.0013570669719503,1096,0,0,0,1095,0.6624087591240876,0.0,0.0,0.0,0.663013698630137
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24720.064105425798,135.35321546232532,182.4780055040359,24902.542110929833,136.3523627416684,0.9991472793430979,1096,0,0,0,1095,0.6268248175182481,0.0,0.0,0.0,0.6273972602739726
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22690.487514777447,128.51548825081528,175.73835903567277,22866.22587381312,129.51084372747297,0.9953554766576852,1096,0,0,0,1095,0.6240875912408759,0.0,0.0,0.0,0.6246575342465753
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20315.497325437886,116.68914518771008,173.99597923841705,20489.493304676304,117.68855178643541,0.9994065987253309,1096,0,0,0,1095,0.6916058394160584,0.0,0.0,0.0,0.6922374429223744
11,0.0,0.0,1.5014062961377832,1.5014062961377832,0.013225327701364007,0.0066126638506820035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21388.091015011145,121.53156552511703,175.13413122305664,21563.225146234203,122.52671395278553,0.9951484276685111,1096,0,0,0,1095,0.6441605839416058,0.0,0.0,0.0,0.6447488584474886
12,2.031480930881561e-06,1.7397229385932137e-08,1.488978671348085,1.488980702829016,0.012751357123052955,0.006375669862911784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19987.535538790347,109.7921676526379,182.1564763850829,20169.69201517543,110.79275896393146,1.0005913112935567,1096,0,0,0,1095,0.6405109489051095,0.0,0.0,0.0,0.6410958904109589
13,0.0003550958113972587,3.246972239020993e-06,1.48913656241601,1.4894916582274074,0.013619811637561525,0.006808282332661252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23592.074202590487,131.87528160773618,178.9863965438729,23771.06059913436,132.87578208283156,1.0005004750953774,1096,0,0,0,1095,0.6113138686131386,0.0,0.0,0.0,0.6118721461187214
14,0.0,0.0,1.6556511333666162,1.6556511333666162,0.014413450565597804,0.007206725282798902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21692.777179080855,126.30126722825783,171.7405756069888,21864.517754687844,127.30118771582872,0.9999204875708856,1096,0,0,0,1095,0.6678832116788321,0.0,0.0,0.0,0.6684931506849315
15,0.0,0.0,1.5133439580132348,1.5133439580132348,0.012765305523301287,0.0063826527616506435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19218.81292813294,113.74594195742006,169.11501521430668,19387.927943347244,114.74684387454816,1.0009019171281086,1096,0,0,0,1095,0.7007299270072993,0.0,0.0,0.0,0.7013698630136986
16,0.0,0.0,1.5214416714894534,1.5214416714894534,0.012488396153686517,0.006244198076843259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20104.143829005203,112.62323191725983,178.22802941835286,20282.371858423554,113.62166372624738,0.9984318089875404,1096,0,0,0,1095,0.6815693430656934,0.0,0.0,0.0,0.6821917808219178
17,0.0,0.0,1.4748299750763532,1.4748299750763532,0.012553615611217043,0.006276807805608521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23214.465052159467,132.69446605770344,174.60780445870947,23389.07285661818,133.6925286591934,0.9980626014899731,1096,0,0,0,1095,0.6706204379562044,0.0,0.0,0.0,0.6712328767123288
