Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,12.090910603313434,0.03301859684216642,75.67183304518994,87.76274364850337,0.23966785839093133,0.20664926154876492,20.80496239009982,0.023481534652260643,50.280718710198144,74.68922586174035,0.08023090129836027,0.05674936664609963,4.816041504380642,0.009046710287655215,101.1023803992973,113.11084510786733,0.19896283622485889,0.18991612593720367,6.094106183999045,0.006493327239324245,132.79233005568054,138.8864362396796,0.14798479914506238,0.14149147190573813,74.66816385419021,0.13731402498282957,169.99036736561575,245.50502384122393,0.44992465240985763,0.31261062742702805,1096,346,143,373,233,0.8677007299270073,0.9971098265895953,0.8041958041958042,0.8016085790884718,0.8240343347639485
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,11.742761291935462,0.03465107633419771,70.42530659775504,82.1680678896905,0.24246528749882493,0.20781421116462723,14.217113997693433,0.014621517988923968,56.145415204871796,72.0009011379971,0.07236398235594144,0.05774246436701746,2.558553001312448,0.005161456401605704,97.58980319155623,111.1981928906531,0.20203270126388348,0.19687124486227778,4.923469389616046,0.004868766199386586,130.0678087755226,134.99127816513862,0.13349143060147553,0.12862266440208894,75.6842054481946,0.12693423843478036,179.2691411610805,246.46345909593938,0.427596599536197,0.30066236110141664,1096,373,130,380,212,0.8549270072992701,0.9973190348525469,0.8692307692307693,0.7263157894736842,0.8301886792452831
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,10.796294209379061,0.03125553371131849,70.08742458247814,80.8837187918572,0.23416032856899116,0.20290479485767268,16.90671728336721,0.01880461936298774,56.539545549278174,76.02024351017373,0.08169114045342211,0.06288652109043438,3.697683191115902,0.006971299544156125,114.45516423765687,128.10123375186345,0.22275539813684758,0.21578409859269146,6.848511444409225,0.009075939903339878,123.3864197375282,130.2349311819374,0.1725928938452453,0.1635169539419054,105.3728433776393,0.14961920688413996,201.15346820510888,257.06309870947985,0.43523760162538955,0.2856183947412496,1096,367,141,407,180,0.8713503649635036,1.0,0.8652482269503546,0.7837837837837838,0.8166666666666667
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,19.563550607124775,0.06176023824195997,72.8115579247551,92.37510853187989,0.2916192886008171,0.22985905035885712,28.902983364667335,0.02995727853632954,56.15177773160182,85.85710046760806,0.08815730669923622,0.05820002816290668,3.078198691468539,0.005552900416230487,107.95319077356501,124.334034502585,0.2002944938167373,0.1947415934005068,7.896174421524448,0.00880895181794526,125.83606231720975,133.7322367387342,0.14919133836839996,0.1403823865504547,108.15520992771187,0.1677227230703605,219.3245759476957,327.67390233450527,0.5078424005115696,0.34011967744120913,1096,399,131,369,196,0.885036496350365,1.0,0.8702290076335878,0.7940379403794038,0.8367346938775511
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,11.739201836959454,0.034342241041256924,71.16536472036073,82.90456655732018,0.24253170255311382,0.20818946151185688,26.91332132372148,0.030014276209230157,52.45731448906323,82.52538357162715,0.08851572637701209,0.05850145016778193,4.689400428617919,0.009208843328039836,94.9030933148104,108.83489904396262,0.19557546545504115,0.18636662212700134,4.602478370056116,0.005132776270319139,121.1000951597626,125.70257352981871,0.1401860334053093,0.13505325713499017,97.39021919196212,0.16842657162106053,189.47285503846845,289.9451568302287,0.49610078422841064,0.32767421260735013,1096,362,138,381,214,0.8804744525547445,1.0,0.8623188405797102,0.7874015748031497,0.8598130841121495
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,16.553139608925047,0.047147360370373474,73.23224083954301,89.78538044846806,0.2557305615735036,0.20858320120313015,28.17051507428422,0.0304808921714364,61.44694635107012,98.60320139216036,0.0969673494141283,0.0664864572426919,5.183524826850275,0.00936149088129585,101.50493292768171,115.38328723597863,0.19268028181037167,0.1833187909290758,7.383264651279632,0.00928110105241132,122.01734428033072,129.40060893161035,0.16266247851886043,0.15338137746644911,62.12025342999119,0.10675321137483218,151.98488427439776,211.9013974805436,0.3679381483456615,0.26118493697082934,1096,358,136,385,216,0.8832116788321168,1.0,0.8308823529411765,0.8233766233766234,0.8333333333333334
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,6.894721587869763,0.019640318254570438,69.0258860919254,75.92060767979517,0.2162676009332906,0.19662728267872015,14.277737886002122,0.015642920706281,51.3997450793998,68.0958017353369,0.07195731329562738,0.05631439258934639,2.8214293569030344,0.0051225660765958,98.3697058027871,108.0741636419308,0.18372186953857655,0.17859930346198075,7.1692098169637095,0.007910807322175882,117.55568942718155,124.72489924414526,0.13762669406934838,0.1297158867471725,63.64293374029659,0.10857681253952668,184.88668304593267,244.7835424696488,0.4239992097541081,0.31542239721458143,1096,364,140,373,218,0.8804744525547445,1.0,0.8857142857142857,0.7882037533512064,0.8394495412844036
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,13.634885952659799,0.038196601137575954,70.31335980954424,83.94824576220404,0.23517157904445837,0.19697497790688243,24.52430425758406,0.025568104793464226,55.489560675885556,80.49347689120162,0.08341940558482452,0.0578513007913603,3.6503870591879393,0.007233838518416431,108.09383085404853,121.07972807502858,0.2214394294754353,0.21420559095701888,9.623207347720687,0.011411340342462894,112.43800307793698,122.06121042565768,0.1447419726553094,0.13333063231284648,75.4720830889941,0.1285377391542466,192.33178265861545,270.1791023055291,0.4561011440399068,0.3275634048856602,1096,352,131,398,214,0.8631386861313869,0.9971590909090909,0.8091603053435115,0.7964824120603015,0.8037383177570093
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,13.283028990868834,0.043272741901667355,72.54209878262098,85.82512777348981,0.27959651412135667,0.23632377221968928,18.071750265469145,0.01897688865445555,54.35693415663426,75.94563689597697,0.07605633430499789,0.05707944565054233,5.122179905522822,0.009529243360164497,109.40542229025615,135.20984177039395,0.21306580653345722,0.20353656317329272,6.171409487527546,0.0072459240950410765,122.14500367420126,128.3164131617288,0.1506578022082134,0.14341187811317233,81.43336396342467,0.13937786032212934,187.68267192625638,254.2157933492637,0.4606074885660377,0.3212296282439083,1096,394,127,367,207,0.8558394160583942,1.0,0.8503937007874016,0.7465940054495913,0.782608695652174
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,14.008818160586019,0.038483037787636315,72.25369993983654,86.26251810042255,0.23696815146441697,0.19848511367678065,13.352889679548811,0.012530204824251491,51.96361431849915,68.0057043094326,0.06129228902063667,0.04876208419638518,1.561261494325067,0.002811990375858524,110.83328415569767,130.38299706083646,0.20243398163322077,0.19962199125736224,1.805905873916713,0.0021593021724342527,107.89583480471435,109.70174067863107,0.13116918793416127,0.12900988576172703,80.28814042670618,0.12880967495366424,192.323081094067,276.3317495404032,0.43736176533903,0.30855209038536574,1096,363,124,396,212,0.875,1.0,0.8951612903225806,0.7954545454545454,0.8018867924528302
