Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,21.801142076142582,0.09205693938593025,73.39770804189772,95.1988501180403,0.40198420542917335,0.3099272660432431,48.311173120151494,0.07130380315228718,50.76793038449337,106.05049645569744,0.14623360263328938,0.07492979948100219,0.18197134103970353,0.0001278252076481051,119.95137544537666,142.21623754528963,0.0843872991796275,0.0842594739719794,6.362771831278723,0.002561179579225291,126.8725928804945,133.23536471177323,0.0536306666935515,0.05106948711432621,63.89540023640703,0.11750301777184423,169.05426951404846,233.75321306328038,0.4283921703809366,0.31088915260909233,1096,535,187,140,233,0.906021897810219,0.9981308411214953,0.7807486631016043,0.6928571428571428,0.927038626609442
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,20.36559771818218,0.08941858824249788,70.5277026806597,90.89330039884187,0.39908235028670547,0.3096637620442076,41.18551354981684,0.06353554533107965,53.152418074628045,105.70038185338336,0.145532043054781,0.08199649772370135,0.0,0.0,108.38291073905873,112.29214167978658,0.07202408690891625,0.07202408690891625,1.703297357669466,0.0006602740325848847,122.24486643014801,123.94816378781748,0.048047837077403295,0.047387563044818413,53.57209228469617,0.08984876957148387,173.4737698283582,227.3761902994179,0.38079138740269597,0.2909426178312121,1096,555,195,133,212,0.9133211678832117,0.9981981981981982,0.7589743589743589,0.7293233082706767,0.9528301886792453
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,21.4059824028994,0.09540469684047105,72.59484268986007,94.00082509275947,0.4189539191396395,0.3235492222991684,50.54012888149037,0.08451977844771068,54.104852161721084,117.88276104612272,0.1750009509112336,0.09048117246352294,2.9180532141923323,0.0018414898882795508,107.45910180762652,136.04431563220228,0.06965548602101225,0.0678139961327327,1.155852687642468,0.0005288306580752404,125.1618069983774,126.31765968601987,0.05779339513803609,0.057264564479960846,61.61019714475002,0.08748049817481841,192.58174749309515,259.9184625223172,0.3609278817384765,0.2734473835636581,1096,565,212,138,180,0.9096715328467153,1.0,0.7924528301886793,0.7101449275362319,0.9222222222222223
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,26.143054124135436,0.11914263319050587,71.7751876286363,97.91824175277173,0.4462461464683813,0.3271035132778754,45.54934382413446,0.07279840821137522,54.35896700483796,99.69827610375995,0.15967663603493631,0.08687822782356112,0.16022654685435728,7.986627170896884e-05,110.8541758056473,135.6448436167423,0.0553360638168966,0.055256197545187624,0.8472408204648547,0.0003887973127137886,116.97937847694254,117.8266192974074,0.05407042701725317,0.05368162970453938,114.55392172529656,0.17764558640307143,203.8534867199542,326.83603095685197,0.493773324705374,0.31612773830230256,1096,576,202,121,196,0.9178832116788321,1.0,0.7772277227722773,0.743801652892562,0.9336734693877551
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,19.803026324568634,0.08737872420433675,69.5706651666885,89.37369149125713,0.3943518032013799,0.3069730789970432,48.175043209010234,0.0770848079992468,50.49380905350197,102.17470283989147,0.15787986944118124,0.08079506144193445,0.2548510663476664,0.0001771195084426538,100.39305529965303,108.37342203688955,0.06994951191222089,0.06977239240377824,1.9361698746192726,0.0007979857325630127,128.7108100522301,130.64697992684938,0.05384570194522454,0.05304771621266152,97.99415074946836,0.1694710104011402,187.2504351897977,287.3132719934693,0.49330177179829837,0.32383076139715816,1096,546,198,137,214,0.9197080291970803,1.0,0.7828282828282829,0.7591240875912408,0.9485981308411215
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,19.651159695649962,0.08520766528988821,72.35609752884726,92.00725722449722,0.39894457626137103,0.3137369109714828,34.04212184874836,0.052271854628783934,55.74983530754936,91.70977178923897,0.1378760158418433,0.0856041612130594,2.343108494088353,0.001565905908948342,106.99893734485968,125.54796933844105,0.0730735926687537,0.07150768675980536,2.4656526240491585,0.0011181516903708102,121.17941849884679,123.64507112289594,0.056071947821685016,0.0549537961313142,51.43587644428394,0.08839218591557466,157.07677808783305,199.75865025702896,0.35832750599899804,0.26993532008342336,1096,545,193,141,216,0.9224452554744526,1.0,0.8290155440414507,0.7730496453900709,0.9120370370370371
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,17.675754557963725,0.0762184240343997,70.3179594682868,87.99371402625053,0.3794317343579981,0.30321331032359844,27.603091446332396,0.04298740251830366,50.98077155521628,82.95816928935733,0.12238180483728575,0.0793944023189821,0.8151519257430132,0.0004912015034790208,83.1477224679272,104.51480730227021,0.05059509624662685,0.05010389474314783,2.0276781366649086,0.0007934132084048196,111.65465513121553,113.68233326788044,0.044482930079509375,0.043689516871104554,70.94067254574294,0.12102698055778192,186.9248997815342,250.04683237609197,0.43992663853660446,0.3188996579788226,1096,551,199,127,218,0.9133211678832117,0.9981851179673321,0.7587939698492462,0.7480314960629921,0.9403669724770642
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,20.8122828101512,0.09043632541770913,71.00220215117595,91.81448496132714,0.3989646265988646,0.3085283011811555,51.53236022275009,0.08448464835727157,52.68380254743192,102.22782296102478,0.17085702705493375,0.08637237869766218,0.0,0.0,119.59620135880309,141.45874431148314,0.07328897661191582,0.07328897661191582,0.0,0.0,116.25223117956538,116.25223117956538,0.047184789230834225,0.047184789230834225,60.04781620192862,0.10226841793467338,184.34632943980375,244.76941423179767,0.4162316668307643,0.3139632488960909,1096,547,206,128,214,0.9078467153284672,0.9963436928702011,0.7864077669902912,0.7265625,0.9112149532710281
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,25.196149203364875,0.11874903775613121,74.6485011829734,99.84465038633829,0.47056619893692364,0.3518171611807924,45.62101316701531,0.07242478702103457,51.905369034589945,96.52703164581688,0.15482618577594787,0.08240139875491331,0.3179358111981016,0.00017087317013935027,82.73551335637238,103.63578309068161,0.04463670228525326,0.04446582911511391,0.0,0.0,129.56431160835373,129.56431160835373,0.06534860166894096,0.06534860166894096,65.53406252900919,0.1121652964945967,176.65611346414323,245.94268667019512,0.414522339223599,0.3023570427290023,1096,570,192,126,207,0.9032846715328468,1.0,0.7239583333333334,0.7619047619047619,0.893719806763285
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,19.367191851546202,0.08046374154516073,72.09846988986442,91.46566174141061,0.3800070460927659,0.2995433045476052,37.58095318559538,0.0551735267265442,51.52217478797687,90.66505355174796,0.13081450564571923,0.07564097891917503,3.1077924004094974,0.0021872386574884263,97.68191848858292,117.25190777771093,0.0709349671826338,0.06874772852514538,1.299179076058592,0.000462091627248229,129.57655399423393,130.87573307029254,0.04654984180104582,0.04608775017379759,84.79756150770062,0.136044330789321,190.5059368804713,281.2385081663491,0.44168109950634055,0.3056367687170196,1096,549,194,140,212,0.9215328467153284,1.0,0.8247422680412371,0.7357142857142858,0.9339622641509434
