Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_orange_time,mean_N_queue_orange,mean_service_orange_time,mean_response_orange_time,mean_N_centre_orange,orange_rho,mean_queue_yellow_squadra_time,mean_N_queue_yellow_squadra,mean_service_yellow_squadra_time,mean_response_yellow_squadra_time,mean_N_centre_yellow_squadra,yellow_squadra_rho,mean_queue_yellow_modulo_time,mean_N_queue_yellow_modulo,mean_service_yellow_modulo_time,mean_response_yellow_modulo_time,mean_N_centre_yellow_modulo,yellow_modulo_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,orange_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,orange_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.4682745246170785,1.4682745246170785,0.011215985951936017,0.005607992975968009,22.42900490473824,0.055627492323259524,74.65887101312285,97.0878759178611,0.2407933430502507,0.1851658507269912,0.0,0.0,47.6855631458193,50.036364167784704,0.07096065944318349,0.07096065944318349,0.0,0.0,57.59855708927197,65.73408364775453,0.045713140547041245,0.045713140547041245,0.0,0.0,104.19601184530919,104.19601184530919,0.041347623748138565,0.041347623748138565,49.825600050164816,0.118632381071821,163.6714925335464,218.64400841637757,0.5083264109135981,0.3896940298417771,77,25,15,12,24,0.948051948051948,1.0,0.9333333333333333,0.9166666666666666,0.9583333333333334
2,0.0,0.0,1.2961344563396964,1.2961344563396964,0.011058290004485506,0.005529145002242753,1.6615418849271464,0.002967039080227047,50.52444678369692,52.18598866862407,0.09318926547968584,0.09022222639945879,5.382436983296849,0.010145466535976201,46.80570634794089,53.18208111973214,0.09837050826324574,0.08822504172726954,0.0,0.0,87.44501678571265,110.22731956691857,0.13012651307397716,0.13012651307397716,0.0,0.0,87.56619300925077,87.56619300925077,0.04343561161173153,0.04343561161173153,97.7345804313869,0.2714849456427414,161.99232442849012,274.2767221611763,0.7214636246107695,0.4499786789680281,86,18,19,20,28,0.8604651162790697,1.0,0.9473684210526315,0.7,0.8571428571428571
3,0.0,0.0,1.371254518190102,1.371254518190102,0.013603715458235136,0.006801857729117568,8.036700925426034,0.018337710444920517,75.08830170095311,83.12500262637914,0.18967014488161907,0.17133243443669854,45.263313157049794,0.11226020128236557,41.857620405484916,92.34359011386152,0.21607374395469917,0.10381354267233361,0.0,0.0,141.8716102021218,143.29766964824483,0.15482020954596623,0.15482020954596623,0.0,0.0,62.321017326838074,62.321017326838074,0.037095843646927425,0.037095843646927425,226.5891601663928,0.7642888338945789,238.10144819802616,434.2382252980159,1.5674087980545877,0.8031199641600089,100,23,25,17,34,0.88,1.0,0.88,0.7058823529411765,0.9117647058823529
4,0.0,0.0,1.872434801924352,1.872434801924352,0.0169039252951504,0.0084519626475752,0.8274360778502755,0.0022984335495840986,70.2391616991652,71.06659777701547,0.19740721604726522,0.1951087824976811,45.608236000071635,0.10406641150809996,39.1810556849508,90.42608772422888,0.19346762983685675,0.08940121832875678,0.0,0.0,70.67967943662036,78.28546031935922,0.07011872959982178,0.07011872959982178,0.0,0.0,154.86550823668676,154.86550823668676,0.04609092507044249,0.04609092507044249,50.30018807696024,0.12974254861120696,137.6047023435791,198.13049079895472,0.48467531259266106,0.35493276398145407,91,28,23,13,26,0.9010989010989011,1.0,0.9130434782608695,0.6923076923076923,0.9230769230769231
5,0.0,0.0,1.7089996940791192,1.7089996940791192,0.016106643942213922,0.008053321971106961,5.3515348681993995,0.01167993721233996,55.279867230525774,60.631402098725175,0.1323304410884875,0.12065050387614752,13.453978240050109,0.04804992228589324,40.71119915263661,51.88561901250549,0.19344706211673826,0.14539713983084504,0.0,0.0,88.23760269913251,0.0,0.03501492170600497,0.03501492170600497,0.0,0.0,97.9408358249998,97.9408358249998,0.03886541104166658,0.03886541104166658,70.99854889473228,0.1972181913742563,168.93709969093584,250.81041296239408,0.6664879127379669,0.46926972136371065,95,22,36,8,28,0.8842105263157894,1.0,0.8888888888888888,0.5,0.9285714285714286
6,0.0,0.0,1.5222796585709417,1.5222796585709417,0.013289743051016158,0.006644871525508079,4.1161810278987865,0.008575377141455806,57.64649136598879,61.76267239388757,0.12867223415393245,0.12009685701247665,14.080784490992615,0.03352567735950623,39.87251407747029,58.53149535493693,0.12846023468681647,0.09493455732731022,0.0,0.0,105.10729193383138,147.09611228483755,0.13555503920037776,0.13555503920037776,0.0,0.0,88.15781024976395,88.15781024976395,0.06996651607124123,0.06996651607124123,27.49281799159647,0.060004166251500235,165.30292958783502,183.67882179570026,0.4207843697170132,0.3607802034655129,88,21,24,21,22,0.8636363636363636,1.0,0.8333333333333334,0.7142857142857143,0.9090909090909091
7,0.0,0.0,1.5356563005536867,1.5356563005536867,0.012035401561879093,0.0060177007809395465,0.07681065079698687,0.00014478198066892367,72.84310840073961,72.9199190515366,0.13744826011698366,0.13730347813631474,16.382940876853176,0.05038404436333815,46.0542347970185,64.1761797752,0.19201909185416885,0.1416350474908307,0.0,0.0,96.3573415678914,159.89736539786477,0.09559260076179703,0.09559260076179703,0.0,0.0,84.54193110844132,84.54193110844132,0.025161289020369442,0.025161289020369442,6.804941004156998,0.010126400303805056,162.6116188264317,171.21996962094494,0.252107975938376,0.24198157563457098,79,19,31,13,15,0.8227848101265823,1.0,0.9032258064516129,0.38461538461538464,0.8666666666666667
8,0.0,0.0,1.601200269594243,1.601200269594243,0.015884923309466698,0.007942461654733349,12.30598027331246,0.0317416157843377,65.12561772759047,77.43159800090292,0.19972435992296386,0.16798274413862618,10.02111835737369,0.02982475701599312,42.42247849422348,56.06198561772209,0.15608213348689634,0.12625737647090324,0.0,0.0,66.0471213980493,75.43606929295414,0.09173211305284625,0.09173211305284625,0.0,0.0,151.44003209704627,151.44003209704627,0.04507143812412091,0.04507143812412091,199.5019489217036,0.514588360313918,201.18623220446554,426.9286308762682,1.0335211021111506,0.5189327417972326,100,26,30,17,26,0.89,1.0,0.9,0.7058823529411765,0.9230769230769231
9,0.0,0.0,1.5599285730391734,1.5599285730391734,0.011142346950279809,0.005571173475139904,0.0,0.0,65.34766372769099,65.34766372769099,0.12965806295176782,0.12965806295176782,7.12623201867165,0.021209023865094198,47.19050194267311,57.41227532147746,0.16165694631352606,0.14044792244843188,0.0,0.0,60.20667626207124,71.36852213949507,0.02389153819923462,0.02389153819923462,0.0,0.0,53.456883638864916,53.456883638864916,0.010606524531520816,0.010606524531520816,18.940616356359502,0.028185441006487354,152.965474074817,171.9060904311765,0.25581263457020315,0.22762719356371577,72,20,30,6,15,0.9444444444444444,1.0,0.9333333333333333,0.8333333333333334,1.0
10,0.0,0.0,1.465809660385619,1.465809660385619,0.013378421503519538,0.006689210751759769,18.662679757233846,0.04258349547781533,64.63837548739454,83.30105524462839,0.19007185224468778,0.14748835676687247,7.968044971706441,0.027666822818425144,39.18174470596871,48.791647539502435,0.16371454749192763,0.13604772467350246,0.0,0.0,72.59627087527038,78.88817968948133,0.06481809899577713,0.06481809899577713,36.60601080988363,0.0072630973829134185,127.8159048281545,164.42191563803812,0.0326233959599282,0.025360298577014783,44.87344500791007,0.09793807442202594,149.9444919092812,194.8179369171913,0.4251978781922826,0.3272598037702566,92,23,35,11,22,0.9239130434782609,1.0,0.9428571428571428,0.6363636363636364,1.0
11,0.0,0.0,1.8057465415081522,1.8057465415081522,0.015227029367876283,0.007613514683938141,3.159664789536123,0.006896093786685983,58.098737881273586,61.25840267080971,0.13369889471803706,0.12680280093135107,22.632467956315462,0.05388682846741776,49.906311093167915,74.56712503099575,0.17271137868924613,0.11882455022182836,0.0,0.0,75.42785523118388,84.79133722825,0.05986337716760626,0.05986337716760626,0.0,0.0,109.96247983144744,109.96247983144744,0.07636283321628294,0.07636283321628294,116.96318575550697,0.26688028495800203,195.50143396898878,309.8099292363707,0.712964906117401,0.446084621159399,85,22,24,15,23,0.9058823529411765,1.0,0.875,0.8666666666666667,0.9130434782608695
12,0.0,0.0,2.077699456906078,2.077699456906078,0.01690192018514865,0.008450960092574325,0.6728986445584639,0.0018024070836387426,58.3394392808272,59.01233792538566,0.15806876230014016,0.15626635521650142,7.943136946395043,0.014972182736260498,39.577836232995935,49.09254125963593,0.0895732629373441,0.07460108020108361,0.0,0.0,85.83662334860261,95.05355068272561,0.0681243042449227,0.0681243042449227,0.0,0.0,0.0,0.0,0.0,0.0,61.84183160948037,0.1595126608974692,213.38033995406929,275.2221715635497,0.7098984583980447,0.5503857975005755,82,27,19,8,27,0.9024390243902439,1.0,0.9473684210526315,0.5,0.9259259259259259
13,0.0,0.0,1.1543147011764967,1.1543147011764967,0.010649927302521251,0.0053249636512606256,8.304067017940506,0.02059540431036832,69.01392579541881,77.31799281335933,0.1917608948744031,0.17116549056403477,15.28506229608337,0.0470076320613675,45.554015381780026,64.04550857520647,0.18710430635057193,0.14009667428920444,0.0,0.0,96.99104412908359,109.70976430133305,0.04811063696879146,0.04811063696879146,0.0,0.0,43.52152327074996,43.52152327074996,0.025905668613541644,0.025905668613541644,34.12514045489713,0.08463576501710597,137.0845030629342,169.44270376928878,0.4246270920581134,0.33999132704100743,93,25,31,11,25,0.8924731182795699,1.0,0.8387096774193549,0.9090909090909091,0.88
