Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_completed_percentage
1,0.0,0.0,1.4682745246170785,1.4682745246170785,0.011215985951936017,0.005607992975968009,58.39321776996797,0.23751209608816334,68.67090380437273,127.0641215743407,0.5168282722765842,0.27931617618842086,127.9880392902402,0.26664174852133377,125.7284099535467,253.83402366612503,0.6034142751826196,0.3367725266612858,0.0,0.0,246.25072845955933,310.7121299323773,0.19543708607901533,0.19543708607901533,0.0,0.0,75.38717187519376,75.38717187519376,0.05983108878983632,0.05983108878983632,0.8831168831168831
2,0.0,0.0,1.2961344563396964,1.2961344563396964,0.011058290004485506,0.005529145002242753,29.136819909587828,0.1445278765356539,74.88535440279533,104.02217431238316,0.5159830075019006,0.37145513096624666,63.8924880920888,0.13310935019185166,119.0995348393758,166.786460719352,0.4521259613687511,0.3190166111768995,13.727818473961861,0.005447547013476929,131.48195322971162,143.33616389739947,0.0837106144121148,0.07826306739863786,10.210010524375685,0.010128978694817147,237.30473258233684,247.51474310671256,0.24555034038364337,0.23542136168882621,0.8953488372093024
3,0.0,0.0,1.371254518190102,1.371254518190102,0.013603715458235136,0.006801857729117568,29.05860329689266,0.13837430141377458,57.04888262411026,86.10748592100293,0.410035647242871,0.2716613458290965,142.53718186530887,0.45249899004859956,110.7201105960813,196.36040542750138,0.9028486462429779,0.45034965619437833,0.0,0.0,144.69500080437916,232.4631473698728,0.21531994167318327,0.21531994167318327,0.0,0.0,245.88429341364665,245.88429341364665,0.21953954769075593,0.21953954769075593,0.85
4,0.0,0.0,1.872434801924352,1.872434801924352,0.0169039252951504,0.0084519626475752,36.01352006838656,0.15005633361827733,77.2936294016631,113.30714947004965,0.47211312279187356,0.32205678917359626,42.360479142869075,0.130275283078268,75.54422788814524,98.55548917926355,0.42255949812168714,0.2922842150434191,3.6960088129856428,0.002566672786795585,166.1757687465331,164.20105870313645,0.18390927756971862,0.18134260478292302,11.07161461644082,0.01098374465916748,163.9886412682306,175.06025588467142,0.17367088877447562,0.16268714411530813,0.8571428571428571
5,0.0,0.0,1.7089996940791192,1.7089996940791192,0.016106643942213922,0.008053321971106961,21.15330204095697,0.10702563532627038,66.97832284237829,88.13162488333526,0.4459040544692558,0.33887841914298544,93.47776986866009,0.2967548249798733,122.93683640275357,136.6805069828729,0.8211877580471754,0.524432933067302,0.0,0.0,162.0016388954039,137.7652497118831,0.19285909392309986,0.19285909392309986,0.0,0.0,329.37560243306353,329.37560243306353,0.13070460414010457,0.13070460414010457,0.8210526315789474
6,0.0,0.0,1.5222796585709417,1.5222796585709417,0.013289743051016158,0.006644871525508079,5.693960227880497,0.023159957276101227,55.16842894125393,60.86238916913442,0.2475553527712809,0.22439539549517967,11.555046503853873,0.034390019356707956,80.84132683367956,94.5999968290241,0.331129016662873,0.29673899730616504,2.7786635948331764,0.002205288567327918,297.3337173901815,206.10728751459317,0.3856713923443477,0.3834661037770198,0.0,0.0,135.02651843164097,135.02651843164097,0.1205593914568223,0.1205593914568223,0.8522727272727273
7,0.0,0.0,1.5356563005536867,1.5356563005536867,0.012035401561879093,0.0060177007809395465,49.04303806665382,0.1605575650991643,74.99680102329026,124.03983908994408,0.4060828065444598,0.24552524144529547,25.99603606493499,0.08510607045068003,90.10865727389589,114.65417745293827,0.46055880909191294,0.37545273864123285,1.856025172701114,0.0016571653327688517,184.16035415684746,315.63899207242474,0.2939751878039553,0.29231802247118643,0.0,0.0,307.008592140928,307.008592140928,0.09137160480384762,0.09137160480384762,0.7721518987341772
8,0.0,0.0,1.59556807551621,1.59556807551621,0.015670757884534207,0.007835378942267103,62.460828137227296,0.29123600421127804,61.47775849414545,123.93858663137276,0.5778882511581864,0.28665224694690833,138.86906919620924,0.48218426804239317,126.93333024563907,260.3244274470072,1.023665736352163,0.5414814683097698,36.69453186921392,0.036403305425807456,108.08625768218451,170.76149534067793,0.16507742171412235,0.1286741162883149,0.0,0.0,230.97426580210632,230.97426580210632,0.16039879569590715,0.16039879569590715,0.898989898989899
9,0.0,0.0,1.5681321197553422,1.5681321197553422,0.0113565123752123,0.00567825618760615,0.0,0.0,47.69812332276625,47.69812332276625,0.13249478700768402,0.13249478700768402,27.752497967892452,0.05506448009502471,73.18260453965287,63.2745051028545,0.22930877661800778,0.17424429652298304,6.129662104173001,0.010337723786799704,110.36651919534545,141.0464662283369,0.2731151504423841,0.2627774266555844,16.408850241650207,0.011395034890034865,143.14759064559772,159.5564408872479,0.11080308394947772,0.09940804905944285,0.8356164383561644
10,0.0,0.0,1.465809660385619,1.465809660385619,0.013378421503519538,0.006689210751759769,11.520219831906166,0.051429552821009666,66.89250520030353,78.4127250322097,0.35005680817950763,0.29862725535849793,67.77531204384113,0.19498849695152703,91.7194626939224,171.89996798962162,0.5043597004826145,0.30937120353108744,14.664018844602083,0.011638110194128637,113.63004686975715,217.23803765091927,0.15818479762536305,0.14654668743123442,0.0,0.0,223.53430240069764,223.53430240069764,0.19958419857205148,0.19958419857205148,0.8804347826086957
