Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_completed_percentage
1,0.0,0.0,1.5618673881968286,1.5618673881968286,0.01373108070364829,0.006865540351824145,23.66462047615156,0.10727390063200652,67.00819156042142,90.67281203657299,0.4110281945251696,0.3037542938931631,75.49985620717483,0.2087192965182173,88.29177226353696,163.79162847071177,0.4528018354918588,0.24408253897364154,3.446937030778095,0.002426653723752129,202.15085528039992,205.597792311178,0.1447414454781944,0.14231479175444228,15.480838414404005,0.011961829095928108,222.53321482769704,238.01405324210103,0.18391015726009408,0.17194832816416597,0.853515625
2,0.0,0.0,1.6283898444001892,1.6283898444001892,0.013912902226110833,0.006956451113055416,22.7845463102325,0.08859020225870033,63.28915660540195,86.07370291563446,0.33466923793987674,0.24607903568117637,60.83939606953818,0.16954725091313685,92.14741156298197,152.98680763252017,0.4263436906971189,0.256796439783982,4.993619246357654,0.004999839491171455,201.6310454283589,206.62466467471657,0.20688204432972002,0.20188220483854857,1.2748612769960435,0.0010849818993845907,149.03302972669073,150.3078910036868,0.12792085226554278,0.1268358703661582,0.833984375
3,0.0,0.0,1.4248946485369158,1.4248946485369158,0.01220336501107993,0.006101682505539965,11.523758579122214,0.052238455423282655,58.044734487357594,69.5684930664798,0.3153615722653463,0.26312311684206363,36.67494884439411,0.08527293322599021,102.27043845926634,138.94538730366045,0.3230619566471579,0.23778902342116776,6.190302940852502,0.005280912409926265,169.235525963163,175.4258289040155,0.1496547819601921,0.14437386955026585,2.961565828505554,0.0024769559311356598,148.1177737639094,151.07933959241495,0.12635777421308428,0.12388081828194862,0.84375
4,0.0,0.0,1.5213328080763064,1.5213328080763064,0.013371387594494131,0.006685693797247066,26.15688295506338,0.11809296406778441,61.84839775802072,88.0052807130841,0.39732580028285475,0.27923283621507033,72.52729353779176,0.17679586430800065,89.13632141321769,161.66361495100944,0.3940786583677855,0.2172827940597848,1.7119535394557963,0.0016163557387123028,222.84884165798002,224.5607951974358,0.21202101671670137,0.21040466097798907,1.1757748727720942,0.0010293821583052653,158.89044256484195,160.06621743761403,0.14013678314898723,0.13910740099068195,0.83984375
5,0.001136443667178355,9.862154429810394e-06,1.5091981038721032,1.5103345475392815,0.013106811167765992,0.006548474506668091,29.856354174323087,0.1295479855633167,61.277943173894045,91.13429734821713,0.3954355769045442,0.26588759134122747,55.0950904815282,0.15034628509878833,94.86052726829466,149.95561774982286,0.4092065166121938,0.2588602315134055,15.874225816799445,0.013452917636113093,147.82012299177353,163.69434880857298,0.13872592071157142,0.12527300307545833,3.1119013538885736,0.0023207717162442975,233.7409942130773,236.85289556696588,0.17663847224961265,0.17431770053336834,0.869140625
6,0.0,0.0,1.5867602200150137,1.5867602200150137,0.014478846903248972,0.007239423451624486,35.2639492484292,0.17031501984734823,66.03928642821381,101.30323567664301,0.4892663176582977,0.3189512978109495,57.5723567395756,0.14877663127336135,95.92077354939805,153.49313028897367,0.39665200699173225,0.24787537571837093,9.808288203272019,0.008565288770148956,157.70648660966626,167.51477481293827,0.14628571161486076,0.13772042284471184,2.1532093165467656,0.0017652116813750064,201.3925630987487,203.54577241529546,0.1668678341677491,0.1651026224863741,0.853515625
7,0.0,0.0,1.4336850466371314,1.4336850466371314,0.011977236759288414,0.005988618379644207,11.028401324940292,0.04552668210336125,60.273069927289,71.3014712522293,0.2943417925734371,0.24881511047007585,45.32213490608503,0.11536335441640218,82.62671029772557,127.9488452038106,0.32568209787564073,0.21031874345923862,7.647649060185716,0.007611858450148597,163.4080034331706,171.05565249335632,0.17025512070837848,0.16264326225822986,0.36639163465375396,0.00024511073041358106,177.2992503347536,177.66564196940735,0.11885575748385345,0.11861064675343988,0.84765625
8,0.0,0.0,1.4709671682471275,1.4709671682471275,0.012759027873535141,0.0063795139367675705,22.659424268678436,0.1021116169853981,58.79382577500485,81.45325004368328,0.36705800518388637,0.26494638819848826,56.8978002248077,0.14747946472622883,96.1053875724384,153.0031877972461,0.39658524843823667,0.24910578371200787,17.144752234213097,0.015974914726780913,172.289567381879,189.43431961609207,0.17650865179339975,0.16053373706661883,9.316658634182721,0.005839915361852047,206.45843424300364,215.77509287718635,0.13525324143306153,0.1294133260712095,0.837890625
9,0.0,0.0,1.464570907123133,1.464570907123133,0.012383158592277337,0.006191579296138668,22.27308141641739,0.09600014368987632,62.24073336623873,84.51381478265613,0.36426654270361875,0.2682663990137424,51.29247195819523,0.12451510398533096,86.6935152771871,137.98598723538234,0.3349680546325676,0.21045295064723665,4.055265297473866,0.0042190132747628485,188.14961439799612,192.20487969546997,0.19996594043169624,0.1957469271569334,3.587064720284252,0.002369464874916833,143.19525241084497,146.78231713112922,0.0969582574672791,0.09458879259236228,0.861328125
10,0.0,0.0,1.4512985665726463,1.4512985665726463,0.013030727753371668,0.006515363876685834,25.78373936509231,0.11213457136700145,60.2411714102336,86.02491077532589,0.3741259698636105,0.26199139849660913,47.82805198483327,0.13084262093674898,90.94868159799368,138.77673358282695,0.3796498246003428,0.24880720366359377,24.889903353148267,0.02226052129429641,178.05240574503082,202.9423090981791,0.1815033802701479,0.1592428589758515,42.81054258638843,0.04204174204596283,188.67147970086472,231.48202228725316,0.22732502045822625,0.1852832784122634,0.865234375
