time,system
0,0
12.4726939274984,1
13.780062119975877,1
53.525756547874124,0
164.8007801847184,1
166.57154697966527,1
374.25812354985334,0
877.7998653958239,1
881.7563857332115,1
928.6924192830645,0
935.9265041190159,1
936.5049958710632,1
946.903943539868,2
948.5986749567729,2
992.851057970266,3
992.9589364151952,3
1015.0118629162074,2
1098.4013827588217,1
1231.6185299732072,0
1311.3103223267076,1
1313.1313646243564,1
1350.4659377680746,0
1518.3061909806052,1
1519.6272773899009,1
1533.3309856690935,2
1534.4016262282046,2
1557.4692124157616,1
1594.2720343569695,2
1598.00757331802,2
1662.4054871617072,3
1662.920799590362,3
1669.79493919318,4
1671.1768922583506,4
1722.362742639184,5
1722.5517076446106,5
1761.4947636286165,4
1793.2494190017026,3
1905.7136204897968,2
1947.757584387074,1
2093.185440075681,0
2103.554186332438,1
2104.8443706796393,1
2175.6067725443722,0
2532.327874936286,1
2532.4101035973326,1
2588.4751717539107,2
2592.971527386209,1
2627.1632468220105,2
2630.3737818243153,2
2815.448304303865,1
2855.3970561540636,0
2863.8185458236844,1
2865.66681138652,1
2935.6977462508735,0
3066.2412076678593,1
3067.079160271324,1
3112.6327981404393,0
3224.9773720262556,1
3226.0369269681732,1
3256.272752839562,2
3257.4302089949274,1
3316.6319337567675,2
3317.564899993551,2
3320.8516755982823,3
3321.1549554005583,3
3327.178216210795,4
3327.8649795496917,4
3356.310289482653,5
3357.299770970223,5
3446.7510614999433,4
3468.675583308283,5
3469.554773458,5
3491.788751914174,4
3600.797484856442,3
3610.891946067334,4
3611.278059848939,4
3658.4585757312702,3
3780.2962670322445,2
3808.319754812638,1
3817.22924043131,2
3817.252399886046,2
3854.1562740827217,1
3904.077877333737,0
4095.2001857244977,1
4096.440930021825,1
4131.7949415987605,0
4304.854106151507,1
4304.929186591458,2
4306.483694787671,2
4307.666097059116,2
4326.765344202105,3
4329.209433978415,3
4438.686681712683,2
4487.360781823561,3
4488.534385482052,3
4544.466914969759,2
4583.958656552916,1
4637.5911870487225,2
4638.308509598019,1
4752.213151358282,0
4961.693991892417,1
4962.325414081036,1
5046.681955780366,0
5059.7092628036835,1
5061.787246551838,1
5099.693851621777,2
5100.782689387609,2
5153.397919139479,1
5175.1230101221245,0
5249.392243458302,1
5249.40687191099,1
5265.888773959726,2
5266.827958258244,2
5281.400919697573,3
5282.1459608290015,2
5314.426209881933,1
5404.250021972463,0
5540.255608564719,1
5540.606119904541,1
5568.870789578944,0
5593.883343819922,1
5595.832244329887,1
5747.405383298408,2
5750.750774508726,3
5750.921726357365,2
5752.740886257627,2
5845.222939877178,3
5846.075615157078,3
5848.178182759961,2
5900.093492069984,3
5900.393364250774,3
5956.130693172341,4
5957.8397669421975,4
5963.772219490633,5
5964.753984551976,5
6032.816332102818,4
6043.595641921674,5
6045.526445950616,5
6058.732561090166,6
6059.034661197393,6
6072.517239916464,5
6101.459390690367,6
6102.085530099868,6
6138.853710831032,5
6201.753215417839,4
6220.584734598577,5
6225.365410038528,5
6230.92346060982,4
6316.312988962053,3
6412.479272888855,2
6559.131346248064,1
6701.769597776253,0
6709.762427875527,1
6712.654573452055,1
6749.999027815744,0
6773.426000460023,1
6773.771446503466,1
6807.272257404707,0
7255.4199283785965,1
7256.376479530349,1
7303.406142925062,0
7384.809766977526,1
7385.7845193127505,1
7389.4512654214805,2
7389.725802521254,2
7456.883993844214,1
7496.795080958954,0
7514.7710980569955,1
7515.647753082161,1
7846.648686451838,2
7848.989200528267,1
7975.933758381775,0
7987.10982580514,1
7996.073309256494,1
8061.899273991012,0
8154.090891091912,1
8154.856030358797,1
8210.199994138939,0
8345.529997540916,1
8345.807743504045,1
8399.133441103417,2
8399.76350059004,2
8411.473691504481,1
8453.316347754957,2
8457.83210159376,2
8484.685139246747,1
8544.085511284065,0
8608.274267641538,1
8610.993828452067,1
8636.4207809906,2
8636.821009546054,2
8649.79363884203,1
8677.02345141783,0
8776.231228693603,1
8777.2896772297,1
8832.066981707922,0
8981.752847704984,1
8986.68492052552,1
9020.66931246038,0
9024.487351149823,1
9024.834775537638,1
9114.978801049681,0
9243.251833338129,1
9243.261855675948,1
9281.52058182901,2
9282.418488137975,2
9298.798796986654,1
9346.992435184686,0
9469.517469603792,1
9470.07571456189,1
9680.760535963938,0
9733.499334863669,1
9734.77799633814,2
9734.931244000827,2
9735.581115180721,2
9750.33661130294,3
9752.898487587394,3
9867.118430329932,2
9904.799479458316,1
9924.515003710314,2
9924.901535124449,1
9955.746168616135,0
10133.166498032433,1
10133.941396990485,1
10204.384871452956,0
