Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.4770140462609453,1.4770140462609453,0.013238184386689503,0.006619092193344752,13.477906608994727,0.05827646975572762,61.49523978268663,74.97314639168138,0.3241727684379941,0.2658962986822665,47.96904481260783,0.13603476934625303,79.76448220618958,143.4260846931059,0.3622377921775597,0.22620302283130672,6.216810960701091,0.005441410688939719,172.50961839830518,300.71866205201337,0.15643453038186825,0.15099311969292853,4.598662483902077,0.004186091519756497,169.27730521234204,173.8759676962441,0.15827661116914465,0.15409051964938816,512,247,162,102,0.814453125,1.0,0.6296296296296297,0.6666666666666666
2,0.0,0.0,1.4910368242815564,1.4910368242815564,0.012538857869758915,0.006269428934879457,16.865412224893383,0.07119176058510517,62.30614382934904,79.17155605424247,0.3341965431147053,0.2630047825296002,29.838444409658027,0.07743421752774798,80.85919517574735,123.11047884770237,0.2872731897742643,0.20983897224651632,5.334649539932691,0.004468643604760738,115.66181115877164,142.04292166245196,0.10135437318845338,0.09688572958369263,5.266967653004233,0.003892896112960579,144.28538051248535,149.55234816548958,0.11053642118449017,0.10664352507152959,512,257,158,96,0.84375,1.0,0.7025316455696202,0.6666666666666666
3,0.0,0.0,1.5826927934462434,1.5826927934462434,0.013295603471477135,0.006647801735738567,16.741642377922453,0.07828605146918036,60.59138737669057,77.33302975461298,0.3616190939319642,0.2833330424627838,61.04808465098349,0.1392285535878197,86.18673240975498,141.69983444722357,0.335789250954061,0.1965606973662413,0.8206037955367423,0.0005789531821603603,180.85678652798026,279.4526666138251,0.1281772078394932,0.12759825465733285,2.4425353323471923,0.0017633356973692947,171.6484665547093,174.0910018870565,0.12568124364581204,0.12391790794844275,512,285,139,87,0.8515625,1.0,0.6690647482014388,0.6666666666666666
4,0.0,0.0,1.473957854449211,1.473957854449211,0.0128741907979881,0.00643709539899405,13.355193256402941,0.06310951758511464,61.89284888785761,75.24804214426051,0.3555820981229072,0.2924725805377925,38.36417064998641,0.1007886085288224,76.11669033641128,132.79957577304523,0.3007589239259278,0.19997031539710539,19.979325287354254,0.013974284765034614,126.27657770195006,168.26318923264662,0.1022968297249475,0.08832254495991289,17.088569287317416,0.011369339238002873,165.0577485551585,182.1463178424759,0.12118529314453182,0.10981595390652894,512,277,154,80,0.841796875,1.0,0.6428571428571429,0.6875
5,0.0,0.0,1.5363748757839357,1.5363748757839357,0.013225726122776225,0.0066128630613881125,14.514200147794444,0.06027572300970644,63.19455801711615,77.7087581649106,0.3227151020986976,0.26243937908899106,61.68393666715574,0.159714803321474,84.65046986775943,139.13373151012436,0.37889557997897916,0.21918077665750518,3.285679395842619,0.0031488531519665566,152.02347166210458,203.57561135699356,0.1488415791439841,0.14569272599201757,14.784617595084688,0.01267747140506868,177.85480517160636,192.63942276669104,0.16518389859644342,0.15250642719137472,512,247,155,109,0.84375,0.9959514170040485,0.7096774193548387,0.6972477064220184
6,0.0,0.0,1.4900119347568272,1.4900119347568272,0.012571992446210678,0.006285996223105339,7.575081892802744,0.031333250958800095,60.10885411950644,67.6839360123092,0.27996499350957915,0.2486317425507791,31.561041294629618,0.0884188064650352,71.00258003529954,116.31479566748787,0.2873337701398101,0.19891496367477493,1.4185447964190068,0.001145469522458926,168.25232016173393,173.67591212509907,0.13700857748689724,0.13586310796443832,5.208063320899893,0.0035188804785341774,154.70140012289124,159.90946344379114,0.10804444081682225,0.10452556033828807,512,251,170,90,0.83203125,0.9960159362549801,0.6941176470588235,0.6444444444444445
7,0.0,0.0,1.4237666204080435,1.4237666204080435,0.01263330338107249,0.006316651690536245,19.75554345299304,0.09107072113344455,63.42009584001093,83.17563929300401,0.383429869655219,0.29235914852177447,45.172143473788616,0.1213418340095997,68.25866019564782,110.31938485840473,0.3046988850201193,0.1833570510105196,9.485138374628974,0.008712197225172521,128.34694312268553,166.72261706094247,0.12660018552524577,0.11788798830007326,2.282350926131413,0.001463498570567519,175.11423889828845,177.39658982441986,0.1137509804732993,0.11228748190273179,512,266,155,90,0.85546875,0.9962406015037594,0.7032258064516129,0.7111111111111111
8,0.0,0.0,1.4374935832389135,1.4374935832389135,0.012513016354670881,0.006256508177335441,17.843900349920624,0.07614644757401061,61.26167758882758,79.10557793874818,0.33757242672292187,0.2614259791489113,42.354181962103766,0.10729233649697345,80.45977988554344,120.96129482690354,0.3111144239044515,0.203822087407478,7.677464390083817,0.006265347802831425,198.1023282171983,220.35457772367295,0.16793070029010784,0.16166535248727643,7.001320587013781,0.007499056922376138,157.34927496634518,164.350595553359,0.1760345717588023,0.16853551483642615,512,251,149,111,0.845703125,1.0,0.6912751677852349,0.7117117117117117
9,0.0,0.0,1.4676679599900788,1.4676679599900788,0.013105397083620822,0.006552698541810411,14.298619142897648,0.07057208423972557,58.537642835044295,72.83626197794196,0.3594897356621504,0.28891765142242487,44.152080198864574,0.10318305405138786,84.13587452392433,142.96468797076366,0.2998079118057938,0.19662485775440597,14.218318016287716,0.012646513433324272,148.9576800841531,192.05003416564944,0.14513724124114868,0.13249072780782442,6.243979190585886,0.004682548803247098,193.6273559828505,199.87133517343636,0.14988955804510876,0.14520700924186167,512,283,134,94,0.869140625,1.0,0.7089552238805971,0.7127659574468085
10,0.0,0.0,1.55687002853174,1.55687002853174,0.012910747954459895,0.0064553739772299475,11.731585364961845,0.04997370368797486,56.823381670564146,68.55496703552603,0.2920275054388101,0.24205380175083524,37.743102908074015,0.0953654985125869,79.55580353187045,121.8262828357012,0.2963791481286405,0.20101364961605367,9.188756662369869,0.008483219221988332,95.71095347746835,127.06664807511513,0.09684522837388639,0.08836200915189805,2.0021550008827553,0.0011349972894774813,216.11263605679358,218.11479105767634,0.12364661903611862,0.12251162174664114,512,263,156,92,0.845703125,1.0,0.7115384615384616,0.6413043478260869
