Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,15.568249776338106,0.066106714162634,56.641073785171244,72.20932356150935,0.3066189957854503,0.2405122816228163,49.90668692832121,0.13589433092401718,80.2243037457,130.33600573713892,0.35434257408279735,0.21844824315878017,3.5298354143104502,0.003064577761777327,151.61968069562997,152.41655687308045,0.1346996958819732,0.13163511812019588,6.876616686453488,0.005536030742112918,201.45359242181846,208.33020910827196,0.16771655229906596,0.16218052155695303,1096,538,345,212,0.833941605839416,0.9981412639405205,0.663768115942029,0.6981132075471698
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,12.03562868676841,0.05351096231660881,54.102276255924274,66.13790494269269,0.2940521871515247,0.24054122483491588,35.32516217806663,0.08747141796631283,85.99813226869875,128.98463418828567,0.3004181705977344,0.21294675263142157,2.456978244765196,0.0023519297532304333,142.7376132848378,195.3294354233473,0.1389867739179951,0.13663484416476468,3.1068813688545225,0.002408731606304184,174.32968264128021,177.43656401013476,0.1375646537810371,0.1351559221747329,1096,563,313,219,0.8531021897810219,0.9964476021314387,0.7284345047923323,0.6666666666666666
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,18.820859875444395,0.08373455357653505,55.92020566468845,74.74106554013285,0.33252517675894966,0.24879062318241463,41.824280819785585,0.10788532606924238,84.29399533340172,131.1904427944825,0.3253208681508447,0.2174355420816023,5.728639376389926,0.005106414578186687,131.9214299549546,187.65398222497174,0.12269899962963603,0.11759258505144933,6.086645755682084,0.004369236597487299,168.073261683929,174.15990743961106,0.12501891385576058,0.12064967725827327,1096,564,327,204,0.8403284671532847,1.0,0.6880733944954128,0.6470588235294118
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,10.132878558761465,0.044254792040609926,55.05324314224626,65.18612170100774,0.2846968157254412,0.24044202368483122,32.45703690386095,0.08551484081897975,80.94607030367871,122.12724765610922,0.2987841647392297,0.21326932392024994,11.569612142195167,0.010343931414554705,161.26660195415386,209.2105373994588,0.1545260050718275,0.1441820736572728,5.963028830679532,0.004576432195388037,173.56658594560693,179.52961477628645,0.13778318576302795,0.13320675356763992,1096,552,333,210,0.8321167883211679,1.0,0.6636636636636637,0.6619047619047619
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,14.901671850832853,0.06743797398963207,52.95235258807724,67.8540244389101,0.30707547320922446,0.23963749921959238,41.654365931199195,0.10704567864704453,79.02346993565419,128.97602075598508,0.31012453434919135,0.20307885570214684,11.79627982633779,0.011725508058537422,142.94688872761049,191.5094755095091,0.1538147870849752,0.14208927902643778,8.123999490344431,0.006171336577646572,194.4391109972088,202.56311048755322,0.15387557994303883,0.14770424336539226,1096,560,318,217,0.8394160583941606,1.0,0.6666666666666666,0.6820276497695853
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,11.599396592355545,0.05103340046966374,55.58540403889544,67.184800631251,0.29559027564837087,0.24455687517870708,34.58630134581963,0.09135581224210622,75.58008997109943,123.52835979850676,0.2909920913458794,0.1996362791037732,7.160817232075506,0.006950505612306515,122.62151730963193,168.09362344918173,0.12597065605442442,0.11902015044211792,2.7876436976776775,0.00195170382956957,166.1632288555844,168.9508725532621,0.11828701969553089,0.11633531586596133,1096,553,332,210,0.8321167883211679,1.0,0.6566265060240963,0.6714285714285714
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,13.161899230098902,0.05757855647783137,53.679001341003854,66.84090057110276,0.29240480429764176,0.2348262478198104,35.72799596033386,0.08695597900839998,84.61708081935298,129.34831632718397,0.292899830761203,0.20594385175280305,9.798734602567396,0.010198869607497383,149.89354944494744,191.27713657799143,0.16621337839860492,0.15601450879110754,4.695186261150925,0.0033804230660725632,191.24432536236455,195.93951162351547,0.1410718143660528,0.13769139129998023,1096,559,311,225,0.8394160583941606,1.0,0.6945337620578779,0.6444444444444445
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,16.720795560511128,0.07358895143268104,54.35709912536499,71.0778946858761,0.31281691837252906,0.239227966939848,36.64920746820912,0.09946024232547222,83.23570257737396,130.65427890485677,0.3253489782731117,0.22588873594763947,6.547014387120726,0.005210433312034427,132.02000445477145,154.92082759858425,0.11027839076440749,0.10506795745237306,8.03062096814565,0.006455071374514218,176.47250250413646,184.5031234722821,0.1483049487154914,0.14184987734097718,1096,553,341,201,0.8421532846715328,0.9981916817359855,0.6950146627565983,0.6666666666666666
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,13.857301471960596,0.06290310476479052,58.010002428015,71.86730389997558,0.32623065576876686,0.2633275510039763,46.79483200470631,0.13271288326084374,84.87861865159924,140.68499790290358,0.37343361514248524,0.2407207318816415,5.44733379959712,0.004639191343424754,144.70116119744705,216.4034450593902,0.12787312543065743,0.12323393408723268,7.332818505353061,0.0060630619811854625,159.9276128356131,167.26043134096616,0.13829748567754382,0.13223442369635835,1096,549,343,203,0.8421532846715328,1.0,0.685131195335277,0.6847290640394089
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,15.81475246595522,0.06618335123283225,55.2817085720222,71.09646103797742,0.2975324503129126,0.23134909908008033,48.260848548756044,0.1256361502811652,81.0195509114008,147.72965419497194,0.33655213663672706,0.21091598635556186,1.8174759452656593,0.001430418884311866,132.6694411822192,141.94446325366076,0.10584603689152008,0.10441561800720822,5.355856705454495,0.003809939039104707,161.40292130145423,166.75877800690873,0.11862542509676839,0.11481548605766369,1096,553,344,198,0.8503649635036497,1.0,0.7063953488372093,0.6868686868686869
