Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,0.0,0.0,0.0,0.0,0.0,0.0,115.00141875929629,0.8005625829235073,92.50741505819862,207.5088338174949,1.444537030695978,0.6439744477724705,14.159246764759214,0.008158052866998498,133.31700159210027,172.7679817204896,0.0849705532158878,0.0768125003488893,14.927508508124003,0.016376671299000476,193.69438099989264,208.62188950801664,0.22887490624371806,0.2124982349447176,1096,0,883,212,0.9543795620437956,0.0,0.9977349943374858,0.7783018867924528
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,0.0,0.0,0.0,0.0,0.0,0.0,105.84775874066946,0.7327020125016167,89.88872721963642,195.7364859603059,1.3549320164112855,0.622230003909669,14.34640334901702,0.009533667204488502,136.18174364530208,200.26655701500738,0.10003101289149889,0.09049734568701039,13.867754824546003,0.014810768313298457,179.3612318975261,193.2289867220721,0.20636864366022023,0.19155787534692176,1096,0,876,219,0.947992700729927,0.0,0.997716894977169,0.7534246575342466
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,0.0,0.0,0.0,0.0,0.0,0.0,162.02640838102164,1.1388057548698824,90.12930838059127,252.15571676161292,1.7722813474713783,0.6334755926014959,12.377355278023098,0.007127494012277272,151.50492634299988,199.19237922560305,0.09437153210316042,0.08724403809088314,20.102134889465372,0.020773019198544948,160.9751572293213,181.07729211878666,0.1871205265653317,0.16634750736678677,1096,0,891,204,0.9525547445255474,0.0,1.0,0.75
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,0.0,0.0,0.0,0.0,0.0,0.0,130.10575338435007,0.911020524535431,93.72597635714574,223.83172974149582,1.5673042469872709,0.6562837224518399,13.635195129020657,0.007767517540338283,118.7329610049995,168.1746029904338,0.07540573969234324,0.06763822215200495,42.738366849518016,0.046664369016969125,195.25503037629406,237.99339722581203,0.2598557813603646,0.2131914123433955,1096,0,885,210,0.9562043795620438,0.0,1.0,0.7761904761904762
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,0.0,0.0,0.0,0.0,0.0,0.0,113.2285951486512,0.8015704842089487,89.2822359020427,202.5108310506939,1.4336193493326672,0.6320488651237184,12.13337097528591,0.0077462241425304435,165.66507161044882,239.24339145207773,0.11351063041484871,0.10576440627231827,21.872325750455037,0.024392456750917235,169.60062448303282,191.47295023348786,0.21353447780667378,0.18914202105575653,1096,0,878,217,0.9552919708029197,0.0,0.9965831435079726,0.7926267281105991
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,0.0,0.0,0.0,0.0,0.0,0.0,136.0624120948614,0.958021851385585,96.65722343006667,232.71963552492807,1.6385899136047304,0.6805680622191453,17.16354425297529,0.009149044822227007,140.08841466215583,183.53365630363075,0.08382331756729883,0.07467427274507182,23.777813353995025,0.027052158892551616,160.0374903970647,183.81530375105973,0.2091277582982977,0.18207559940574608,1096,0,885,210,0.9671532846715328,0.0,1.0,0.8333333333333334
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,0.0,0.0,0.0,0.0,0.0,0.0,127.18278958459234,0.8659204622546106,91.07600401496475,218.2587935995571,1.4860088858104274,0.620088423555817,9.829445241353191,0.007076968105717378,160.32475823412716,154.06878231715734,0.12250700232640434,0.11543003422068696,20.761089573270304,0.02160887645756614,195.36430882782417,216.1253984010945,0.22495096015598257,0.20334208369841641,1096,0,870,225,0.947992700729927,0.0,1.0,0.7511111111111111
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,0.0,0.0,0.0,0.0,0.0,0.0,121.05669634572753,0.861304830803097,95.9606823482498,217.01737869397735,1.5440543338761343,0.6827495030730373,19.11550119880329,0.008519306888084829,103.0927082286075,188.83899931213628,0.05446518140056056,0.04594587451247573,16.24683127851097,0.01874852987323112,182.68752677664574,198.9343580551567,0.22956641149725734,0.21081788162402623,1096,0,894,201,0.9644160583941606,0.0,0.9988814317673378,0.8159203980099502
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,0.0,0.0,0.0,0.0,0.0,0.0,142.6661764879202,1.0498617200601057,91.36012590809065,234.02630239601083,1.7221689290424478,0.6723072089823421,8.460605158113692,0.0042672917371492525,151.67437642588848,235.79242982653122,0.08076758943024742,0.07650029769309816,14.945060582421588,0.017547170511837448,162.37616334116782,177.32122392358943,0.2081949239613434,0.19064775344950596,1096,0,892,203,0.958941605839416,0.0,0.9966367713004485,0.7980295566502463
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,0.0,0.0,0.0,0.0,0.0,0.0,104.31338415694461,0.7080985454824377,90.87868263884506,195.19206679578966,1.3249998521748454,0.6169013066924078,6.703025181076179,0.0038044627694037007,126.95295244286,134.77759319430447,0.0758596569522182,0.0720551941828145,7.290019172643182,0.0067857054809416706,166.6955423342093,173.9855615068525,0.16194947507849983,0.15516376959755815,1096,0,897,198,0.9607664233576643,0.0,1.0,0.7878787878787878
11,0.0,0.0,1.5014062961377832,1.5014062961377832,0.013225327701364007,0.0066126638506820035,0.0,0.0,0.0,0.0,0.0,0.0,133.7154789860087,0.952166858750224,89.55124989154498,223.2667288775537,1.5898472002708244,0.6376803415206006,24.31730373766027,0.01700326514144675,127.80720553530391,187.48725849974198,0.10636925020905134,0.08936598506760458,26.57623351312412,0.02584499523415749,177.06097868230611,203.6372121954302,0.19803418629991296,0.17218919106575548,1096,0,887,208,0.9562043795620438,0.0,0.9977452085682075,0.7836538461538461
12,2.031480930881561e-06,1.7397229385932137e-08,1.488978671348085,1.488980702829016,0.012751357123052955,0.006375669862911784,0.0,0.0,0.0,0.0,0.0,0.0,110.15928624085306,0.7695120371180384,91.622136079157,201.78142232001008,1.4095337637042749,0.6400217265862366,15.976394436043412,0.008863268553302404,149.0096640064208,186.01280539055858,0.09152977221364542,0.08266650366034302,31.928287995071152,0.03243215224428018,187.55956337340996,219.4878513684811,0.22295161621103562,0.19051946396675545,1096,0,894,201,0.9616788321167883,0.0,0.9988814317673378,0.8009950248756219
13,0.0003550958113972587,3.246972239020993e-06,1.48913656241601,1.4894916582274074,0.013619811637561525,0.006808282332661252,0.0,0.0,0.0,0.0,0.0,0.0,112.78719240777441,0.8365348122788749,91.97474314651024,204.76193555428466,1.518705126566796,0.682170314287921,7.791230755266504,0.003965138613610237,120.82876863563133,164.47201870004665,0.06545771035245501,0.06149257173884478,14.298522969556908,0.01729743277554435,157.94545137953006,172.24397434908695,0.20836967382150828,0.19107224104596393,1096,0,889,206,0.9726277372262774,0.0,1.0,0.8592233009708737
14,0.0,0.0,1.6556511333666162,1.6556511333666162,0.014413450565597804,0.007206725282798902,0.0,0.0,0.0,0.0,0.0,0.0,112.80349784690088,0.7723575752578105,91.30371395140813,204.10721179830898,1.3975076500830808,0.6251500748252702,12.874199001688032,0.007567292404312258,167.09856688017126,220.1112997235882,0.10578573036367485,0.0982184379593626,16.835833190886138,0.021262793257026052,174.87139352177152,191.70722671265767,0.24211638837546082,0.22085359511843475,1096,0,862,233,0.9616788321167883,0.0,0.9988399071925754,0.8283261802575107
