Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.4496087316856938,1.4496087316856938,0.012281800226764636,0.006140900113382318,15.659359986785656,0.0671842803707435,68.83019743188937,84.48955741867503,0.3624905563705266,0.2953062759997831,55.98537527246454,0.14455121252351755,83.00055878995049,146.224501404394,0.3588541685156296,0.21430295599211208,8.377087959099002,0.0070586273083251844,145.12007425743633,183.45698960751503,0.12933841285445816,0.12227978554613296,7.414456233710187,0.005559704620582481,176.62979431428988,184.0442505480001,0.138004951126582,0.13244524650599956,1096,555,334,206,0.8385036496350365,0.9981981981981982,0.6467065868263473,0.7233009708737864
2,0.0,0.0,1.4949930870919304,1.4949930870919304,0.012904764615761255,0.006452382307880628,20.227883160972375,0.09240144837235505,70.50491731503102,90.73280047600339,0.41446957707558757,0.3220681287032325,58.44060992580931,0.15603239936268215,85.56694181432655,160.73267206034802,0.38449023466532245,0.22845783530264024,11.899818822433332,0.008434963495430691,135.81648053815798,215.811233880846,0.10470592967666001,0.09627096618122932,6.733874488073038,0.004561039331779255,173.2821009235983,180.01597541167135,0.12192979623476684,0.11736875690298758,1096,580,339,176,0.843065693430657,1.0,0.6814159292035398,0.6420454545454546
3,0.0,0.0,1.4862832179520287,1.4862832179520287,0.012801644021798887,0.006400822010899443,27.578574397133327,0.1176861242686597,70.99223694815227,98.57081134528559,0.42063148682731416,0.30294536255865445,57.13346513586902,0.1481692637574888,79.80765461156241,145.49013975639275,0.35514150669577443,0.20697224293828567,9.944707701237824,0.008362370756670385,136.65334980936586,176.5813602015686,0.12327233197198609,0.1149099612153157,9.385477174104365,0.008334670199032194,179.22646479437773,188.61194196848209,0.16749476907191047,0.15916009887287827,1096,544,331,220,0.8448905109489051,0.9963235294117647,0.6827794561933535,0.7181818181818181
4,0.0013513940008974084,1.1184979577821768e-05,1.5659030617625262,1.5672544557634236,0.01297157532838185,0.006480195174402015,22.98738798330861,0.09634413096973084,73.18627856680801,96.17366655011662,0.40308052105231057,0.30673639008257975,82.52952548285266,0.1988120419086344,74.39715218520193,160.7965980899548,0.37803335272545946,0.17922131081682505,7.247861287009241,0.006513276109034682,145.09931533183385,191.748922694994,0.13690648681824485,0.13039321070921017,9.407075676410209,0.007245985559377144,175.57325216671316,184.98032784312338,0.142484745570965,0.13523876001158783,1096,555,319,221,0.8613138686131386,1.0,0.7178683385579937,0.7239819004524887
5,0.0011724438259644047,1.0110175140482556e-05,1.5443247414227934,1.5454971852487578,0.013327075358288538,0.006658482591574028,24.442805632804898,0.1051948458408634,71.73827405012048,96.18107968292537,0.41393586325761267,0.30874101741674925,73.54268732626005,0.18515931037473246,86.81809746477543,165.59284446829307,0.4037422808787778,0.21858297050404532,24.533044208143178,0.02046036549846593,140.60646737935906,219.99084097059944,0.13772505102309832,0.11726468552463237,8.984230111954579,0.008482389168743127,178.527390199173,187.51162031112756,0.17703760003032115,0.16855521086157801,1096,548,321,226,0.843065693430657,0.9963503649635036,0.6822429906542056,0.7035398230088495
6,0.0,0.0,1.5581325369613508,1.5581325369613508,0.013372970698294432,0.006686485349147216,24.867427193107407,0.11197256890790125,69.60537706466673,94.47280425777413,0.42539031088862794,0.3134177419807267,56.650870916707966,0.14684106540615868,78.86395631051931,136.87689811096428,0.3512592354958615,0.20441817008970284,15.0096479686286,0.01187147883599878,132.55213090688977,170.17045405673198,0.1167100346779888,0.10483855584199002,11.302556625388785,0.0077888314516797895,231.28516843704244,242.58772506243122,0.1671723456366864,0.1593835141850066,1096,575,331,189,0.8494525547445255,1.0,0.6858006042296072,0.6825396825396826
7,0.0,0.0,1.5438691664412576,1.5438691664412576,0.013185752585932973,0.006592876292966486,27.89607337954727,0.12303916710192242,72.59669058339327,100.49276396294054,0.44323607159836603,0.3201969044964436,63.35763332219726,0.16786561186509893,81.25232062263433,140.847707577116,0.3831430741310251,0.2152774622659262,8.368398168806772,0.006651603943886732,141.67971163104775,206.04263652338102,0.11926542915198937,0.11261382520810265,9.122423409426789,0.006184624734536182,175.13520062098877,184.25762403041557,0.12491902731984478,0.1187344025853086,1096,566,340,189,0.8521897810218978,1.0,0.6882352941176471,0.708994708994709
8,0.0,0.0,1.4470718636107816,1.4470718636107816,0.01268426080755908,0.00634213040377954,32.19989519932378,0.14550148163557855,71.31524113416498,103.51513633348875,0.46775325245617044,0.3222517708205919,85.63707446317058,0.21916757912270057,82.19427811170404,173.60951165718055,0.4295241456495903,0.21035656652688972,2.798296569038875,0.0025289293293070283,138.0225491495259,205.3253188738088,0.1272652694699248,0.12473634014061778,6.0256322166047145,0.004674539827154576,166.39732914018344,172.42296135678816,0.13376156575855525,0.12908702593140067,1096,565,320,210,0.8476277372262774,0.9982300884955753,0.7,0.6714285714285714
9,0.0,0.0,1.5330015326306712,1.5330015326306712,0.012082525546815874,0.006041262773407937,16.38415697723471,0.06256381170234483,70.41535060941612,86.79950758665083,0.3314487316041345,0.26888491990178964,45.83025838257154,0.11436321593870996,76.53794815362588,122.57533349005347,0.30535332162678014,0.1909901056880702,12.110715490467957,0.01106058509769162,134.65670334948373,175.83685975787725,0.13404109170308887,0.12298050660539724,3.5611504373452836,0.0022536038267505,203.71528401697404,207.27643445431931,0.1311708039578565,0.128917200131106,1096,531,349,215,0.8403284671532847,0.9981167608286252,0.7249283667621776,0.641860465116279
10,0.0,0.0,1.4829986798748356,1.4829986798748356,0.012770480309402081,0.0063852401547010405,23.785104167699853,0.1067080243496822,69.85351382189764,93.63861798959748,0.42009452042146916,0.313386496071787,57.702618655303525,0.1491582687225758,80.12446291474458,143.64213965883553,0.35627583893342235,0.20711757021084654,3.202863158482336,0.002466155022300604,124.83625426925113,151.39150133369114,0.09858813719814535,0.09612198217584474,4.920340881879758,0.0037499272234506314,163.24395555656048,168.16429643844023,0.12816263920844734,0.12441271198499672,1096,571,329,195,0.8631386861313869,0.9982486865148862,0.7173252279635258,0.717948717948718
11,0.0,0.0,1.470817980410807,1.470817980410807,0.013320656029571474,0.006660328014785737,22.753181188422356,0.10735798777935905,72.15157815951763,94.90475934793997,0.44779602069285923,0.34043803291350017,82.34250805362365,0.21433385447024111,82.54901008300727,193.56920060076587,0.4292052244590149,0.21487136998877374,12.253851953855095,0.009113207689128598,123.9409128234335,156.8651611809531,0.1012882465253688,0.09217503883624022,11.836500801690617,0.011541479076580983,183.72979482565466,195.56629562734528,0.1906918562236797,0.17915037714709872,1096,571,316,208,0.8521897810218978,0.9982486865148862,0.6550632911392406,0.7548076923076923
