Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.6097362828277548,1.6097362828277548,0.01440506730532743,0.007202533652663715,23.196642491356695,0.11635836863058148,63.383844180162434,86.58048667151918,0.43430268790380255,0.31794431927322103,39.93762649051382,0.0970258931164182,77.90261644068677,139.63944421438904,0.286285285836182,0.1892593927197638,5.68801740994318,0.004076011226993891,153.16894995952867,202.81120648277383,0.11383628702547123,0.10976027579847734,2.3907167644754863,0.0017967480424674236,184.14437307426374,186.53508983873922,0.1401908258223854,0.138394077779918,512,287,139,85,0.859375,0.9965156794425087,0.7050359712230215,0.6588235294117647
2,0.0,0.0,1.571816382207107,1.571816382207107,0.012478410432186587,0.006239205216093294,10.730445783752051,0.04192815957584158,57.53354907126519,68.26399485501722,0.26673483350519195,0.22480667392935033,30.879851336723938,0.07565188993559682,90.39495565722513,122.69311826135348,0.29710856605569164,0.22145667612009481,0.2975331122557321,0.0002721916579548792,127.25109336242927,163.45290062113665,0.11668507026596754,0.11641287860801265,0.0,0.0,150.55601379642823,150.55601379642823,0.0980471314795023,0.0980471314795023,512,252,158,101,0.837890625,1.0,0.6835443037974683,0.6831683168316832
3,0.0,0.0,1.510754893076107,1.510754893076107,0.01354215422485374,0.00677107711242687,19.814763817521783,0.09158336824688403,61.8756243433552,81.69038816087699,0.3775710359238687,0.2859876676769847,36.89457775349269,0.08590886281417547,78.31199200398132,129.18242204505236,0.26825799342966133,0.18234913061548585,18.885061819439095,0.01983779719761567,165.87483922759165,183.68557015430972,0.19408088161245937,0.1742430844148437,5.396460429847206,0.005101836560252347,253.23504064750784,258.63150107735504,0.2445113171832809,0.23940948062302855,512,264,133,114,0.853515625,1.0,0.6917293233082706,0.7105263157894737
4,0.0,0.0,1.426489088508641,1.426489088508641,0.012201196275160846,0.006100598137580423,8.948975883894638,0.03707567077537447,56.19026836633227,65.13924425022692,0.2698723525140468,0.23279668173867232,32.61621214594756,0.08445574940307041,81.41270657926808,132.51221038428588,0.2952641386273432,0.21080838922427278,1.9566710443094573,0.0018305004655862938,140.3614943952405,171.74966404156947,0.13314116793220243,0.13131066746661615,4.51696417628633,0.003923864378629876,151.8643013948496,156.38126557113594,0.13584762984862372,0.13192376546999385,512,248,155,108,0.841796875,1.0,0.6967741935483871,0.6944444444444444
5,0.0,0.0,1.3223888133221762,1.3223888133221762,0.01112141266482907,0.005560706332414535,14.5665884834049,0.06699566629407282,59.67385069011511,74.24043917351996,0.3414517883896414,0.2744561220955686,50.665806006569305,0.11651284841345769,88.84289616019221,128.07896925430745,0.32081906021205986,0.20430621179860214,6.091762755053844,0.00520327947450002,101.72265775884877,148.09002196223813,0.09208969289713334,0.08688641342263331,0.6416251511142875,0.0004110331171810101,189.2116006281321,189.85322577924637,0.1216223570154497,0.12121132389826868,512,280,140,91,0.845703125,1.0,0.7,0.6043956043956044
6,0.0,0.0,1.4091612200977242,1.4091612200977242,0.011843022640034428,0.005921511320017214,17.847819228132497,0.07587816825343077,61.9131833982276,79.7610026263601,0.3390957012723256,0.26321753301889483,53.996361002252605,0.1391541171177918,83.83725355456119,162.00935593211275,0.35521125103240364,0.21605713391461184,12.4502679900912,0.010831447145933301,175.68896909369485,230.68010089704347,0.1636768143602277,0.15284536721429443,20.100270210542174,0.013857443026664014,198.52052069011773,218.6207909006599,0.15072061831095176,0.13686317528428776,512,259,157,95,0.853515625,1.0,0.7261146496815286,0.6736842105263158
7,0.0,0.0,1.4629024109642426,1.4629024109642426,0.013043856820268632,0.006521928410134316,11.332021313685035,0.04973116462425121,62.36598121124342,73.6980025249285,0.3234275152323956,0.2736963506081444,42.45120855803022,0.11754600934179282,77.18736344992844,135.31493401433056,0.33127529652453325,0.2137292871827404,12.896490792592303,0.011903320530989855,170.53629162536893,215.84366570107298,0.1693064601935345,0.15740313966254466,7.416045594451444,0.00607003164957077,175.43685307403967,182.8528986684911,0.1496650563966223,0.14359502474705155,512,252,159,100,0.8515625,1.0,0.7232704402515723,0.69
8,0.0,0.0,1.4330118325256374,1.4330118325256374,0.01240839111644852,0.00620419555822426,16.886526141711464,0.07253870031616916,60.92414659380567,77.81067273551714,0.33424785083648584,0.2617091505203166,33.002184428611486,0.08651075891032257,77.475684898508,124.01334615672857,0.2896027788390452,0.2030920199287227,14.327466695279476,0.013326859950128564,124.1634054982435,146.37923104564942,0.12881889711195962,0.11549203716183107,3.5921636634008425,0.002855286619213142,188.9738521809944,192.5660158443953,0.15306406385591598,0.15020877723670284,512,254,155,102,0.859375,0.9960629921259843,0.7096774193548387,0.7549019607843137
9,0.0,0.0,1.4466304768141476,1.4466304768141476,0.011761506940433188,0.005880753470216594,16.11983490635329,0.06783313068610021,63.351634578135375,79.47146948448865,0.3344202100502329,0.26658707936413273,30.76620806729251,0.07230545877782582,79.74045191356647,120.73689782948088,0.259708142467372,0.18740268368954618,7.6692694355080135,0.006941674559313142,131.3149454802772,186.56298211643085,0.12579857794018276,0.11885690338086963,5.503690164001921,0.0034084268809217414,184.93750569998252,190.44119586398446,0.11793994063533923,0.11453151375441749,512,265,149,96,0.8359375,0.9962264150943396,0.6644295302013423,0.6770833333333334
10,0.0,0.0,1.4723639474345962,1.4723639474345962,0.012071882201440422,0.006035941100720211,13.043248257804645,0.05827466921093706,58.49846485825228,71.54171311605691,0.3196343107344708,0.2613596415235337,40.53383307486119,0.09996046062868132,99.55782414394886,147.66900613456042,0.34547994905797685,0.24551948842929552,8.245278214443136,0.005809621570103204,130.09351710710578,210.41954294925748,0.09747349069123463,0.09166386912113143,4.40941744582618,0.002400766853555035,197.53660308438944,201.94602053021558,0.10995223705916234,0.1075514702056073,512,279,154,78,0.84765625,0.996415770609319,0.6688311688311688,0.6794871794871795
