Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.595128616298509,1.595128616298509,0.01382328934837922,0.00691164467418961,15.850887848531835,0.06666927275347587,63.53145673504456,79.38234458357638,0.3338843371693567,0.26721506441588083,56.0140492578135,0.15548430206062833,79.88655353850456,134.7222258041088,0.37723411635798976,0.22174981429736143,3.8487674322301735,0.0033874332343578188,139.07030894225016,134.59174468905925,0.1257880185434091,0.12240058530905126,7.017645916873873,0.0055231919410783925,213.86583805072564,220.88348396759952,0.17384488944273,0.1683216975016516,1024,497,328,198,0.8330078125,1.0,0.6676829268292683,0.6919191919191919
2,0.0,0.0,1.4731137283066111,1.4731137283066111,0.012779808956857557,0.0063899044784287784,12.810444278347886,0.058172417136745536,60.25308100446688,73.06352528281477,0.3317825500725879,0.2736101329358423,37.34696332917118,0.08890982252534133,86.91857103254156,134.53015967168136,0.29583199331997134,0.20692217079463002,2.93441421970316,0.0027097925514211006,144.364568731721,237.49265867088155,0.13602363434363746,0.13331384179221636,4.165033244298646,0.0034227748694225717,176.19092200352924,180.35595524782786,0.14821438268661838,0.1447916078171958,1024,536,281,206,0.8515625,1.0,0.708185053380783,0.6650485436893204
3,0.0005682218335891775,5.054805397861027e-06,1.5479791619435586,1.5485473837771477,0.013775615809968382,0.006885280502285261,19.18873310713071,0.08785034761822547,62.747519393916306,81.93625250104701,0.37512264225910696,0.2872722946408815,48.92045437630474,0.1304714305878079,88.20256741303425,149.4560727353529,0.36570872138186394,0.235237290794056,10.903726060580489,0.009377707732545804,126.92257833701919,172.4199403029331,0.11853698390041661,0.10915927616787081,6.98241134641511,0.005459269153523119,194.7008075951879,201.68321894160303,0.15768807097227772,0.1522288018187546,1024,527,307,189,0.8486328125,0.9981024667931688,0.6872964169381107,0.6984126984126984
4,0.0,0.0,1.4523261074421294,1.4523261074421294,0.012360792328542864,0.006180396164271432,9.22687999163898,0.03980195815679976,60.43081701986887,69.65769701150785,0.3004821504412552,0.26068019228445544,35.547313664549876,0.09129510126905203,80.94228252092779,128.08504113401344,0.29917674176178366,0.2078816404927316,6.527256562654833,0.00558791919337011,126.01309228455393,156.38139438508875,0.1134664697350357,0.10787855054166559,3.663067389535462,0.002770566059811707,200.0339362756016,203.6970036651371,0.15406650897338242,0.1512959429135707,1024,519,310,194,0.8408203125,0.9980732177263969,0.667741935483871,0.7010309278350515
5,0.0,0.0,1.4579347368478897,1.4579347368478897,0.012697220182108447,0.006348610091054223,12.587541132124699,0.054598622941675494,60.795539940387755,73.38308107251245,0.3183000660511224,0.2637014431094469,44.38430374288671,0.11400055480994689,80.8111709024834,140.02457895606713,0.3215630834707912,0.20756252866084432,9.44434078327204,0.008915901025141509,130.58712519045096,176.46683990899714,0.1321962770804035,0.12328037605526197,14.471750263558352,0.012308118527560074,186.63327802358594,201.1050282871443,0.17103836644275253,0.15873024791519244,1024,510,302,211,0.859375,1.0,0.7086092715231788,0.7393364928909952
6,0.0,0.0,1.4856483871985042,1.4856483871985042,0.0131636621941738,0.0065818310970869,14.818798388687224,0.06603602981339604,60.20215502131803,75.02095341000525,0.3343109060579761,0.26827487624458,34.56696662486398,0.09631144048590601,75.40133692195352,118.8692806659,0.3063967352798355,0.21008529479392957,11.120784333621737,0.00981513611505327,133.5492047035285,182.0267103628128,0.12768484592133555,0.1178697098062823,9.911488282976538,0.00720408609545297,186.7275328505161,196.63902113349263,0.14292550195558057,0.1357214158601276,1024,515,322,186,0.841796875,1.0,0.6925465838509317,0.6666666666666666
7,0.0,0.0,1.4493779186196953,1.4493779186196953,0.01227088792236674,0.00613544396118337,12.286955458168611,0.053536415686098536,63.11567806126659,75.4026335194352,0.3285424730045142,0.2750060573184157,38.09278579516223,0.09196445009347047,79.55978821110969,124.33992563898781,0.284039459039571,0.19207500894610055,2.450789987155748,0.0022491761434867198,154.91232699631914,201.64509394012273,0.1444176655033187,0.14216848935983198,6.352489716223707,0.004779470168521062,158.9051702106777,165.25765992690143,0.12433614079264556,0.11955667062412449,1024,527,294,202,0.8515625,1.0,0.7142857142857143,0.6683168316831684
8,0.0,0.0,1.552137488509929,1.552137488509929,0.01376748047567421,0.006883740237837105,14.907469537920097,0.06856820425513833,61.294694619762375,76.20216415768247,0.35049848958984064,0.28193028533470227,44.002155496265715,0.11282101085991617,80.71832340460357,146.36995391103054,0.3197818458171458,0.20696083495722967,3.3756901673005646,0.002865582910738449,145.6345114183366,208.88175698165193,0.1264929735927017,0.12362739068196325,7.641789297561389,0.006487023314721799,182.20331690158787,189.84510619914928,0.16115723453572803,0.15467021122100624,1024,531,296,196,0.8330078125,1.0,0.6452702702702703,0.6683673469387755
9,0.00011548965494512231,1.0237821544041718e-06,1.4999500869374163,1.5000655765923614,0.013297644438205379,0.006648310328025487,13.444123120523713,0.058425267953301364,61.34071132453288,74.7848344450566,0.3249988081874623,0.26657354023416097,39.64363426617647,0.10913526203248816,81.31121803782443,128.5707910557803,0.3329775320715367,0.22384227003904847,3.2718766030240998,0.002747471303548597,131.2649909016034,161.5172956688491,0.11297375408248586,0.11022628277893726,3.4817624425225593,0.0031949900955790447,172.44609914895878,175.92786159148136,0.16143771569721102,0.15824272560163197,1024,502,318,203,0.8583984375,1.0,0.720125786163522,0.729064039408867
10,0.0,0.0,1.5338698407293705,1.5338698407293705,0.013056274918542372,0.006528137459271186,13.463921407370695,0.057973850846358865,62.200799028665486,75.66472043603618,0.3258022001293631,0.26782834928300425,40.8644371658017,0.10937856330360872,83.67457031729695,129.91253869848146,0.33334357839041745,0.22396501508680872,17.664547260840433,0.013362100213402945,144.0884754400135,186.6903921183738,0.12235581627053937,0.10899371605713642,5.1996418660273775,0.003976418452566054,178.0800493756647,183.27969124169206,0.14016287371554828,0.13618645526298223,1024,518,322,183,0.845703125,1.0,0.6770186335403726,0.7103825136612022
