Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_completed_percentage
1,0.00016500906402683313,1.4434020531678325e-06,1.6063475898838235,1.6065125989478504,0.014052825506508155,0.007025691052227494,13.95766823558886,0.06295443853224407,60.96561295600639,74.92328119159525,0.33793274211688745,0.27497830358464337,64.82437700600275,0.16058904328645895,81.31357710125546,163.85126212030764,0.36202668381605707,0.20143764052959817,18.004051362970614,0.015379768714284472,127.07995600520489,179.30182516050715,0.12393646477000032,0.10855669605571584,11.929096711577952,0.010394109613971435,140.46823706236532,152.39733377394325,0.13278747171074157,0.12239336209677011,0.841796875
2,0.0,0.0,1.6713261644596071,1.6713261644596071,0.015120339452828467,0.007560169726414234,22.495989814884677,0.10295210693456522,63.02923404293057,85.52522385781525,0.39140318184117034,0.28845107490660515,64.83335216795963,0.17985747731208498,91.74516104980152,164.3158941458075,0.4343723630958716,0.2545148857837866,14.622715667716403,0.012918985414549089,136.2349739953447,202.13803331945755,0.1332808718104562,0.1203618863959071,10.32405409215555,0.00820905477065617,193.66043628147702,203.98449037363255,0.16219595896091574,0.15398690419025957,0.861328125
3,0.0,0.0,1.5022259571584713,1.5022259571584713,0.013801678261582389,0.0069008391307911945,27.023096623768886,0.12025785996030029,62.77964187800117,89.80273850177005,0.3996390680592229,0.27938120809892264,83.49546978003472,0.23073331706018538,87.95542810694567,175.2613900798476,0.473791386366563,0.2430580693063776,5.655615358450041,0.005784707407171916,151.18896415765647,181.58773816448948,0.1604246299292598,0.15463992252208789,5.502617228579206,0.005134513776179007,157.01294779273476,162.51556502131396,0.15164391284779707,0.14650939907161803,0.845703125
4,0.0,0.0,1.5363688962112725,1.5363688962112725,0.013785196669068078,0.006892598334534039,17.969497679299728,0.08785927989479594,58.821053769988666,76.79055144928839,0.3754563802209566,0.2875971003261607,43.837422932212604,0.10601604558694928,90.08051787721352,141.63406055046264,0.32386599321124626,0.21784994762429696,7.6903378645314975,0.006199415591300765,126.33306094067089,157.43628431665087,0.10804034397293794,0.10184092838163716,5.4154115137783565,0.004555333740898677,207.1656140299192,212.58102554369756,0.1788188239933788,0.17426349025248014,0.84375
5,0.0,0.0,1.4579294291062352,1.4579294291062352,0.01434178825461243,0.007170894127306215,25.00093307400422,0.12825205174767929,67.39438913062048,92.3953222046247,0.4739778955271255,0.3457258437794462,43.17665845747367,0.11447877072907194,84.28809545251967,142.03934221760755,0.3379605754639842,0.22348180473491228,10.315081530244019,0.010503774203336858,131.64458906614084,199.5679765315974,0.14455652352844084,0.13405274932510397,12.980067142590414,0.012469349160235321,150.48816770497743,163.46823484756783,0.15703636002262475,0.1445670108623894,0.83203125
6,0.0038808344205563117,3.329458974998826e-05,1.5219914277492488,1.525872262169805,0.01309081642616116,0.006528760918205586,12.328706664963208,0.05350518587462245,64.76683542924013,77.09554209420334,0.334585891444554,0.2810807055699315,43.94047840075548,0.11559605868716573,73.70074650520084,129.54931579621302,0.3094837023446058,0.19388764365744007,2.06789946316252,0.0016978686675174028,192.1127365482596,257.3940463860125,0.15943387171162676,0.15773600304410937,2.3488735975862136,0.001810489753963379,146.9579560893002,149.30682968688643,0.11508430492924442,0.11327381517528103,0.8515625
7,0.0,0.0,1.5676965476452758,1.5676965476452758,0.014418628875131885,0.007209314437565942,14.77645828413465,0.06476676108849172,62.71126798278585,77.4877262669205,0.3396368032120756,0.2748700421235839,69.85528789863756,0.1995209076583791,77.55079762463554,136.11797801346472,0.4210217560143463,0.22150084835596723,11.13144888941419,0.011197774673974157,128.72436705078664,211.6111976519879,0.14068913483782697,0.12949136016385282,8.124640482351355,0.007589261138285857,154.91747861673727,163.0421190990886,0.15229833505499069,0.14470907391670482,0.84375
8,0.0,0.0,1.4630601534223537,1.4630601534223537,0.013122755538640347,0.006561377769320174,18.98043191826017,0.08944401095215966,62.326356175572705,81.30678809383286,0.3831527794556286,0.29370876850346894,37.557105545789256,0.09474308060255877,70.46991853478617,120.0092269219464,0.2725133606806396,0.17777028007808082,12.659858340899227,0.011088983712069159,157.6223432811358,224.4736714848944,0.14915305601341355,0.13806407230134438,11.247648229867385,0.009457924826256374,169.4994894633648,180.7471376932322,0.15198669143333932,0.14252876660708297,0.845703125
9,0.0,0.0,1.4825762145129824,1.4825762145129824,0.011882153441701175,0.0059410767208505876,17.714581796935974,0.07819665567054637,60.703425961539985,78.41800775847595,0.34615696951538605,0.26796031384483965,37.37797764494206,0.07957247664668043,80.39547576825981,129.77974000903697,0.25072317877500405,0.17115070212832362,4.209097892615351,0.003623763806542808,136.11134673503406,162.90355054790032,0.12080691909109237,0.11718315528454956,0.5449329563293999,0.00032414164931518,205.87052416749074,206.41545712382015,0.12278179533670484,0.12245765368738966,0.865234375
10,0.0,0.0,1.4413493080701123,1.4413493080701123,0.01326038148566809,0.006630190742834045,25.128884177382528,0.12868705971531122,62.40447369540315,87.53335787278567,0.4482654451404376,0.3195783854251264,83.26327477985615,0.19150506770722228,83.10946279452911,172.90370036781857,0.3826563687058673,0.191151300998645,14.661026352781427,0.01369886328674435,132.31956281309684,225.06570963917056,0.13733465504661058,0.12363579175986623,16.517439247964397,0.013652662778768665,152.62940248620137,169.14684173416578,0.13981009741415681,0.12615743463538814,0.828125
